NLSitNummer;DatumFileBegin;DatumFileEind;TijdFileBegin;TijdFileEind;FileZwaarte;GemLengte;FileDuur;HectometerKop;HectometerStaart;RouteLet;RouteNum;RouteOms;hectometreringsrichting;KopWegvakVan;KopWegvakNaar;TrajVan;TrajNaar;OorzaakGronddetail;OorzaakVerloop;OorzaakCodeVerloop;OorzaakCode;Oorzaak_1;Oorzaak_2;Oorzaak_3;Oorzaak_4
2800676;2021-01-27;2021-01-27;16:40:00;16:42:56;8,800;3000,000;2,933;54,8;51,8;A;28;A28;oplopend;Harderwijk;Elspeet;Amersfoort;Zwolle;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 3];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2800645;2021-01-27;2021-01-27;15:40:00;16:48:59;348,067;5045,663;68,983;41,1;46,1;A;16;A16;aflopend;Dordtse Kil;'s-Gravendeel;Breda;Rotterdam;Spoedreparatie;[Geen oorzaakcode opgegeven door VWM 1], [Spoedreparatie 40], [Opruimwerkzaamheden 2], [Geen oorzaakcode opgegeven door VWM 26];[000], [N32], [CLE], [000];N32;Spoedreparatie;Spoedreparatie;Spoedreparatie;Ongepland onderhoud
2800680;2021-01-27;2021-01-27;16:58:00;17:45:53;250,767;5237,035;47,883;88,4;92,4;A;73;A73;aflopend;Cuijk;Haps;Nijmegen;Maasbracht;Defecte vrachtwagen(s);[Geen oorzaakcode opgegeven door VWM 4], [Defecte vrachtwagen(s) 27], [Eerder pechgeval 17];[000], [HBD], [M13];HBD;Defecte vrachtwagen(s);Defecte vrachtwagen;Incident (gestrand voertuig);Incident
2800633;2021-01-27;2021-01-27;14:17:00;14:37:00;40,000;2000,000;20,000;25,9;23,9;N;325;N325;oplopend;Westervoort;Presikhaaf;Arnhem;Arnhem Velperbroek;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 20];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2800686;2021-01-27;2021-01-27;17:51:00;18:02:59;23,967;2000,000;11,983;22,5;28,5;A;28;A28;aflopend;Hoevelaken;Amersfoort;Zwolle;Amersfoort;Ongeval(len);[Geen oorzaakcode opgegeven door VWM 1], [Ongeval(len) 3], [Eerder(e) ongeval(len) 8];[000], [ACI], [ACA];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
2800729;2021-01-28;2021-01-28;7:55:00;8:30:59;97,000;2695,693;35,983;136,3;138,3;A;12;A12;aflopend;Duiven;Westervoort;Oberhausen;Arnhem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 36];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2800852;2021-01-29;2021-01-29;8:01:00;8:45:16;186,433;4211,596;44,267;143,2;148,2;A;59;A59;aflopend;Kruisstraat;Rosmalen-Oost;Oss;'s-Hertogenbosch;Obstakel(s) op de weg {iets dat de weg of een deel ervan blo;[Obstakel(s) op de weg {iets dat de weg of een deel ervan blo 6], [Er ligt rommel op de weg 12], [Geen oorzaakcode opgegeven door VWM 26];[OHX], [SPL], [000];OHX;Obstakel(s) op de weg {iets dat de weg of een deel ervan blo;Lading op de weg;Incident (obstakel op de weg);Incident
2800810;2021-01-28;2021-01-28;18:02:00;18:18:58;40,967;2414,538;16,967;32,9;34,9;A;20;A20;aflopend;Terbregseplein;Rotterdam-Crooswijk;Gouda;Hoek van Holland;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 17];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2800770;2021-01-28;2021-01-28;15:40:00;15:56:59;36,933;2174,681;16,983;23,1;20,1;A;16;A16;oplopend;Rotterdam-Feijenoord;Ridderkerk-Noord;Rotterdam;Breda;Ongeval(len);[Geen oorzaakcode opgegeven door VWM 2], [Ongeval(len) 13], [Eerder(e) ongeval(len) 3];[000], [ACI], [ACA];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
2800786;2021-01-28;2021-01-28;16:27:00;18:25:09;438,417;3710,679;118,150;51,2;53,2;A;15;A15;aflopend;Rotterdam-Heijplaat;Benelux;Ridderkerk;Europoort;Spitsfile (met ongeval op aansluitende weg);[Geen oorzaakcode opgegeven door VWM 60], [Ongeval op aansluitende weg 8], [Geen oorzaakcode opgegeven door VWM 0], [Eerder ongeval op aansluitende weg 50], [Geen oorzaakcode opgegeven door VWM 0];[000], [N65], [000], [M14], [000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
