NLSitNummer;DatumFileBegin;DatumFileEind;TijdFileBegin;TijdFileEind;FileZwaarte;GemLengte;FileDuur;HectometerKop;HectometerStaart;RouteLet;RouteNum;RouteOms;hectometreringsrichting;KopWegvakVan;KopWegvakNaar;TrajVan;TrajNaar;OorzaakGronddetail;OorzaakVerloop;OorzaakCodeVerloop;OorzaakCode;Oorzaak_1;Oorzaak_2;Oorzaak_3;Oorzaak_4
2795122;2020-12-01;2020-12-01;17:15:00;18:04:53;179,367;3595,723;49,883;36,6;42,6;A;20;A20;aflopend;Prins Alexander;Terbregseplein;Gouda;Hoek van Holland;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 50];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2795125;2020-12-01;2020-12-01;17:20:00;18:10:52;192,583;3786,042;50,867;66,1;64,1;A;27;A27;oplopend;Lekbrug;Nieuwegein;Gorinchem;Utrecht;Ongeval(len);[Geen oorzaakcode opgegeven door VWM 0], [Ongeval(len) 38], [Eerder(e) ongeval(len) 0], [Ongeval(len) 6], [Geen oorzaakcode opgegeven door VWM 7];[000], [ACI], [ACA], [ACI], [000];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
2795030;2020-12-01;2020-12-01;8:59:00;9:11:01;34,483;2869,626;12,017;1,2;3,2;A;4;A4;aflopend;Amsterdam-Sloten;De Nieuwe Meer;Den Haag;Amsterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 12];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2795155;2020-12-01;2020-12-01;17:50:00;17:53:53;7,767;2000,000;3,883;29,3;27,3;A;10;A10;oplopend;Coentunnel;Coenplein;De Nieuwe Meer;Watergraafsmeer;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 4];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2794992;2020-12-01;2020-12-01;6:54:00;7:32:57;165,917;4259,735;38,950;136,4;138,4;A;12;A12;aflopend;Duiven;Westervoort;Oberhausen;Arnhem;Ongeval(len);[Geen oorzaakcode opgegeven door VWM 1], [Ongeval(len) 28], [Eerder(e) ongeval(len) 10];[000], [ACI], [ACA];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
2795005;2020-12-01;2020-12-01;7:45:00;8:18:53;123,600;3647,811;33,883;136,0;138,0;A;12;A12;aflopend;Duiven;Westervoort;Oberhausen;Arnhem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 34];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2795011;2020-12-01;2020-12-01;7:47:00;7:49:55;5,833;2000,000;2,917;35,4;37,4;A;16;A16;aflopend;Drechttunnel;Zwijndrecht;Breda;Rotterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 3];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2794991;2020-12-01;2020-12-01;6:46:00;7:14:55;69,517;2404,035;28,917;81,9;86,9;A;15;A15;aflopend;Sliedrecht-Oost;Sliedrecht-West;Gorinchem;Ridderkerk;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 29];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2794985;2020-12-01;2020-12-01;6:03:00;6:16:41;42,917;3136,419;13,683;47,2;51,2;A;28;A28;aflopend;Ermelo;Harderwijk-Zuid;Zwolle;Amersfoort;Eerder(e) ongeval(len);[Eerder(e) ongeval(len) 14];[ACA];ACA;Eerder(e) ongeval(len);Ongeval;Ongeval;Ongeval
2795156;2020-12-01;2020-12-01;17:50:00;18:32:04;134,733;3202,853;42,067;20,0;22,0;A;16;A16;aflopend;Van Brienenoordbrug;Rotterdam-Centrum;Breda;Rotterdam;Ongeval(len);[Ongeval(len) 34], [Eerder(e) ongeval(len) 8];[ACI], [ACA];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
