NLSitNummer;DatumFileBegin;DatumFileEind;TijdFileBegin;TijdFileEind;FileZwaarte;GemLengte;FileDuur;HectometerKop;HectometerStaart;RouteLet;RouteNum;RouteOms;hectometreringsrichting;KopWegvakVan;KopWegvakNaar;TrajVan;TrajNaar;OorzaakGronddetail;OorzaakVerloop;OorzaakCodeVerloop;OorzaakCode;Oorzaak_1;Oorzaak_2;Oorzaak_3;Oorzaak_4
2802065;2021-02-08;2021-02-08;15:28:00;15:28:56;1,867;2000,000;0,933;22,7;20,7;A;27;A27;oplopend;Keizersveerbrug;Hank;Breda;Gorinchem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 1];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2801889;2021-02-08;2021-02-08;6:38:00;8:12:05;496,817;5280,602;94,083;36,3;39,3;A;28;A28;aflopend;Strand Nulde;Nijkerk;Zwolle;Amersfoort;Ongeval vrachtwagen (met opruim/berging);[Geen oorzaakcode opgegeven door VWM 1], [Ongeval met vrachtwagen(s) 45], [Opruimingswerkzaamheden 17], [Eerder(e) ongeval(len) 31], [Geen oorzaakcode opgegeven door VWM 0];[000], [ACH], [OCL], [ACA], [000];ACH;Ongeval met vrachtwagen(s);Ongeval vrachtwagen;Ongeval;Ongeval
2802068;2021-02-08;2021-02-08;15:30:00;15:36:53;13,767;2000,000;6,883;61,5;59,5;A;9;A9;oplopend;Uitgeest;Akersloot;Amstelveen;Alkmaar;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 7];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2801888;2021-02-08;2021-02-08;6:38:00;8:30:52;225,733;2000,000;112,867;28,7;26,7;A;15;A15;oplopend;Dintelhavenbrug;Havens 5700-6200;Rotterdam Maasvlakte;Nijmegen;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 113];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2802138;2021-02-08;2021-02-08;17:10:00;17:14:54;9,800;2000,000;4,900;45,4;43,4;A;58;A58;oplopend;Tilburg-Centrum West;Tilburg-Reeshof;Tilburg;Breda;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 5];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2801901;2021-02-08;2021-02-08;6:53:00;8:48:43;231,433;2000,000;115,717;61,4;63,4;A;2;A2;aflopend;Leidsche Rijntunnel;Utrecht-Centrum;'s-Hertogenbosch;Amsterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 116];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2802108;2021-02-08;2021-02-08;16:28:00;16:32:47;9,567;2000,000;4,783;29,9;27,9;A;10;A10;oplopend;Coentunnel;Coenplein;De Nieuwe Meer;Watergraafsmeer;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 5];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2801940;2021-02-08;2021-02-08;8:19:00;8:26:48;15,600;2000,000;7,800;43,0;45,0;A;2;A2;aflopend;Vinkeveen;Abcoude;Utrecht;Amsterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 8];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2802109;2021-02-08;2021-02-08;16:30:00;18:34:11;745,533;6003,490;124,183;25,7;28,7;A;27;A27;aflopend;Nieuwendijk;Hank;Gorinchem;Breda;Defect voertuig (met opruim/berging);[Geen oorzaakcode opgegeven door VWM 0], [Opruimingswerkzaamheden 107], [Eerder pechgeval 17], [Geen oorzaakcode opgegeven door VWM 0];[000], [OCL], [M13], [000];BKD;Defect(e) voertuig(en);Defect voertuig;Incident (gestrand voertuig);Incident
2802128;2021-02-08;2021-02-08;16:50:00;16:55:54;11,800;2000,000;5,900;52,0;54,0;A;58;A58;aflopend;Bavel;Tilburg-Reeshof;Breda;Tilburg;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 6];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
