NLSitNummer;DatumFileBegin;DatumFileEind;TijdFileBegin;TijdFileEind;FileZwaarte;GemLengte;FileDuur;HectometerKop;HectometerStaart;RouteLet;RouteNum;RouteOms;hectometreringsrichting;KopWegvakVan;KopWegvakNaar;TrajVan;TrajNaar;OorzaakGronddetail;OorzaakVerloop;OorzaakCodeVerloop;OorzaakCode;Oorzaak_1;Oorzaak_2;Oorzaak_3;Oorzaak_4
2757453;2020-04-21;2020-04-21;14:23:00;16:02:28;282,917;2844,337;99,467;10,7;8,7;A;12;A12;oplopend;Zoetermeer-Centrum;Zoetermeer;Den Haag;Utrecht;Object op de weg (met opruim/berging);[Geen oorzaakcode opgegeven door VWM 5], [Voorwerpen op de weg 15], [Opruimwerkzaamheden 63], [Geen oorzaakcode opgegeven door VWM 17];[000], [OBR], [CLE], [000];INS;Incident(en);Incident;Incident;Incident
2757503;2020-04-21;2020-04-21;17:59:00;18:16:28;50,300;2879,771;17,467;70,1;65,1;A;27;A27;oplopend;Houten;Lunetten;Gorinchem;Utrecht;Ongeval(len);[Geen oorzaakcode opgegeven door VWM 0], [Ongeval(len) 2], [Eerder(e) ongeval(len) 15];[000], [ACI], [ACA];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
2757484;2020-04-21;2020-04-21;16:02:00;16:38:51;73,700;2000,000;36,850;98,0;105,0;A;1;A1;aflopend;Ijsselbrug;Twello;Hengelo;Apeldoorn;Defecte vrachtwagen(s);[Geen oorzaakcode opgegeven door VWM 0], [Defecte vrachtwagen(s) 19], [Geen oorzaakcode opgegeven door VWM 17];[000], [HBD], [000];HBD;Defecte vrachtwagen(s);Defecte vrachtwagen;Incident (gestrand voertuig);Incident
2757407;2020-04-21;2020-04-21;8:10:00;8:48:33;115,650;3000,000;38,550;132,0;129,0;A;1;A1;oplopend;Markelo;Rijssen;Apeldoorn;Hengelo;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 39];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2756477;2020-04-06;2020-04-06;12:54:00;14:49:37;231,233;2000,000;115,617;65,5;67,5;A;16;A16;aflopend;Galder;Breda;Antwerpen;Breda;Ongeval met vrachtwagen(s);[Ongeval met vrachtwagen(s) 116];[ACH];ACH;Ongeval met vrachtwagen(s);Ongeval vrachtwagen;Ongeval;Ongeval
2756500;2020-04-06;2020-04-06;18:46:00;18:49:11;6,367;2000,000;3,183;0,4;2,4;A;76;A76;aflopend;Nederland;België;Geleen;Brussel;Grenscontrole;[Geen oorzaakcode opgegeven door VWM 2], [Grenscontrole 1], [Geen oorzaakcode opgegeven door VWM 0];[000], [N39], [000];N39;Grenscontrole;Politiecontrole;Politiecontrole;Overige oorzaken
2756489;2020-04-06;2020-04-06;16:34:00;17:05:13;82,733;2650,294;31,217;34,2;31,2;N;31;N31;oplopend;Marssum;A31: Marssum;Afsluitdijk;Drachten;Ongeval(len);[Ongeval(len) 31];[ACI];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
2756491;2020-04-06;2020-04-06;16:45:00;16:54:31;19,033;2000,000;9,517;26,8;24,8;A;67;A67;oplopend;Leenderheide/Randweg N2;Geldrop;Turnhout;Duisburg;Defect(e) voertuig(en);[Geen oorzaakcode opgegeven door VWM 0], [Defect(e) voertuig(en) 9];[000], [BKD];BKD;Defect(e) voertuig(en);Defect voertuig;Incident (gestrand voertuig);Incident
2756484;2020-04-06;2020-04-06;15:01:00;15:08:40;19,333;2521,739;7,667;91,6;89,6;A;15;A15;oplopend;Gorinchem;Gorinchem;Ridderkerk;Gorinchem;Defecte vrachtwagen(s);[Geen oorzaakcode opgegeven door VWM 1], [Defecte vrachtwagen(s) 6];[000], [HBD];HBD;Defecte vrachtwagen(s);Defecte vrachtwagen;Incident (gestrand voertuig);Incident
2756501;2020-04-06;2020-04-06;18:49:00;20:17:01;176,033;2000,000;88,017;2,7;4,7;A;76;A76;aflopend;Stein;Kerensheide;Keulen;Brussel;Grenscontrole;[Geen oorzaakcode opgegeven door VWM 1], [Grenscontrole 87];[000], [N39];N39;Grenscontrole;Politiecontrole;Politiecontrole;Overige oorzaken
2757035;2020-04-15;2020-04-15;16:13:00;16:24:28;30,783;2684,593;11,467;60,9;56,9;A;4;A4;oplopend;Ketheltunnel;Kethelplein;Den Haag;Rotterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 11];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2757030;2020-04-15;2020-04-15;15:45:00;17:08:34;328,450;3930,395;83,567;14,8;11,8;A;1;A1;oplopend;Vechtzicht;Muiderberg;Amsterdam;Amersfoort;Incident op aansluitende weg;[Geen oorzaakcode opgegeven door VWM 1], [Incident op aansluitende weg 83];[000], [N69];N69;Incident op aansluitende weg;Incident elders;Incident;Incident
2757002;2020-04-15;2020-04-15;9:23:00;9:33:27;21,767;2082,935;10,450;31,5;33,5;A;20;A20;aflopend;Rotterdam-Crooswijk;Rotterdam-Noord;Gouda;Hoek van Holland;Voorwerpen op de weg;[Geen oorzaakcode opgegeven door VWM 1], [Voorwerpen op de weg 6], [Geen oorzaakcode opgegeven door VWM 4];[000], [OBR], [000];OBR;Voorwerpen op de weg;Lading op de weg;Incident (obstakel op de weg);Incident
2757033;2020-04-15;2020-04-15;16:00:00;16:36:27;123,017;3374,943;36,450;12,5;10,5;A;28;A28;oplopend;Soesterberg;Maarn;Utrecht;Amersfoort;Ongeval (met object op de weg);[Geen oorzaakcode opgegeven door VWM 1], [Ongeval(len) 2], [Voorwerpen op de weg 29], [Geen oorzaakcode opgegeven door VWM 4];[000], [ACI], [OBR], [000];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
2757036;2020-04-15;2020-04-15;16:32:00;16:50:33;55,650;3000,000;18,550;12,5;9,5;A;28;A28;oplopend;Soesterberg;Maarn;Utrecht;Amersfoort;Defect voertuig (met opruim/berging);[Geen oorzaakcode opgegeven door VWM 1], [Defect(e) voertuig(en) 7], [Opruimingswerkzaamheden 11];[000], [BKD], [OCL];BKD;Defect(e) voertuig(en);Defect voertuig;Incident (gestrand voertuig);Incident
2756997;2020-04-15;2020-04-15;7:59:00;8:19:25;40,833;2000,000;20,417;59,0;61,0;A;15;A15;aflopend;Rotterdam-Zuidplein;Rotterdam-Charlois;Ridderkerk;Europoort;Defecte vrachtwagen(s);[Geen oorzaakcode opgegeven door VWM 1], [Defecte vrachtwagen(s) 20], [Geen oorzaakcode opgegeven door VWM 0];[000], [HBD], [000];HBD;Defecte vrachtwagen(s);Defecte vrachtwagen;Incident (gestrand voertuig);Incident
2756994;2020-04-15;2020-04-15;6:39:00;6:46:26;14,867;2000,000;7,433;9,5;11,5;A;10;A10;aflopend;Zeeburgertunnel;Durgerdam;Amstel;Coenplein;Te hoog voertuig gesignaleerd, wordt afgehandeld;[Geen oorzaakcode opgegeven door VWM 1], [Te hoog voertuig gesignaleerd, wordt afgehandeld 3], [Geen oorzaakcode opgegeven door VWM 4];[000], [OHW], [000];OHW;Te hoog voertuig gesignaleerd, wordt afgehandeld;Hoogtemelding;Incident;Incident
2757021;2020-04-15;2020-04-15;14:24:00;14:30:37;13,233;2000,000;6,617;46,9;44,9;A;9;A9;oplopend;Rottepolderplein;Brug Over Het Zijkanaal C;Amstelveen;Alkmaar;Brugopening;[Geen oorzaakcode opgegeven door VWM 2], [Brugopening 4];[000], [N73];N73;Brugopening;Brugopening;Blokkade;Hoge intensiteit
2757022;2020-04-15;2020-04-15;14:24:00;14:30:33;13,100;2000,000;6,550;46,9;48,9;A;9;A9;aflopend;Brug Over Het Zijkanaal C;Rottepolderplein;Alkmaar;Amstelveen;Brugopening;[Geen oorzaakcode opgegeven door VWM 2], [Brugopening 4];[000], [N73];N73;Brugopening;Brugopening;Blokkade;Hoge intensiteit
2757037;2020-04-15;2020-04-15;16:35:00;16:53:20;36,667;2000,000;18,333;46,2;48,2;A;15;A15;aflopend;Botlektunnel;Spijkenisse;Ridderkerk;Europoort;Ongeval(len);[Geen oorzaakcode opgegeven door VWM 0], [Ongeval(len) 18];[000], [ACI];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
2757027;2020-04-15;2020-04-15;15:41:00;15:47:21;19,600;3086,614;6,350;23,6;27,6;A;1;A1;aflopend;Blaricum;Naarden;Amersfoort;Amsterdam;Defecte vrachtwagen(s);[Geen oorzaakcode opgegeven door VWM 1], [Defecte vrachtwagen(s) 5];[000], [HBD];HBD;Defecte vrachtwagen(s);Defecte vrachtwagen;Incident (gestrand voertuig);Incident
2757477;2020-04-21;2020-04-21;15:41:00;15:55:37;29,233;2000,000;14,617;159,1;157,1;A;2;A2;oplopend;Batadorp;De Hogt;Eindhoven;Maastricht-Noord;Afgevallen lading(en);[Geen oorzaakcode opgegeven door VWM 1], [Afgevallen lading(en) 14];[000], [SHL];SHL;Afgevallen lading(en);Lading op de weg;Incident (obstakel op de weg);Incident
2757481;2020-04-21;2020-04-21;15:55:00;15:56:27;2,900;2000,000;1,450;161,9;163,9;A;2;A2;aflopend;De Hogt;Batadorp;Maastricht-Noord;Eindhoven;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 1];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2757327;2020-04-20;2020-04-20;8:35:00;8:53:32;37,067;2000,000;18,533;64,0;57,0;A;27;A27;oplopend;Lekbrug;Nieuwegein;Gorinchem;Utrecht;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 19];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2757347;2020-04-20;2020-04-20;13:17:00;13:52:06;70,200;2000,000;35,100;193,4;191,4;A;50;A50;oplopend;Schaarsbergen;Hoenderloo;Arnhem;Apeldoorn;Defecte vrachtwagen(s);[Geen oorzaakcode opgegeven door VWM 1], [Defecte vrachtwagen(s) 34];[000], [HBD];HBD;Defecte vrachtwagen(s);Defecte vrachtwagen;Incident (gestrand voertuig);Incident
2757456;2020-04-21;2020-04-21;14:32:00;14:40:54;17,800;2000,000;8,900;54,1;52,1;A;15;A15;oplopend;Benelux;Rotterdam-Heijplaat;Europoort;Ridderkerk;Defecte vrachtwagen(s);[Geen oorzaakcode opgegeven door VWM 0], [Defecte vrachtwagen(s) 9], [Geen oorzaakcode opgegeven door VWM 0];[000], [HBD], [000];HBD;Defecte vrachtwagen(s);Defecte vrachtwagen;Incident (gestrand voertuig);Incident
2757459;2020-04-21;2020-04-21;14:49:00;16:48:26;617,933;5173,877;119,433;235,8;233,8;A;2;A2;oplopend;Born;Urmond;Eindhoven;Maastricht-Noord;Defecte vrachtwagen(s);[Geen oorzaakcode opgegeven door VWM 0], [Defecte vrachtwagen(s) 74], [Spoedreparatie 45], [Geen oorzaakcode opgegeven door VWM 0];[000], [HBD], [N32], [000];HBD;Defecte vrachtwagen(s);Defecte vrachtwagen;Incident (gestrand voertuig);Incident
2757501;2020-04-21;2020-04-21;17:35:00;17:47:24;49,400;3983,871;12,400;77,8;70,8;A;27;A27;oplopend;Utrecht-De Uithof;Rijnsweerd;Gorinchem;Utrecht;Ongeval(len);[Geen oorzaakcode opgegeven door VWM 1], [Ongeval(len) 11];[000], [ACI];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
2757330;2020-04-20;2020-04-20;8:51:00;8:52:32;3,067;2000,000;1,533;76,0;78,0;A;2;A2;aflopend;Everdingen;Everdingen;'s-Hertogenbosch;Utrecht;Ongeval(len);[Geen oorzaakcode opgegeven door VWM 1], [Ongeval(len) 0], [Eerder(e) ongeval(len) 1];[000], [ACI], [ACA];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
2757469;2020-04-21;2020-04-21;15:11:00;15:14:28;6,933;2000,000;3,467;159,1;157,1;A;2;A2;oplopend;Batadorp;De Hogt;Eindhoven;Maastricht-Noord;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 3];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2757487;2020-04-21;2020-04-21;16:20:00;16:38:35;37,167;2000,000;18,583;158,2;156,2;A;2;A2;oplopend;Batadorp;De Hogt;Eindhoven;Maastricht-Noord;Er ligt rommel op de weg;[Geen oorzaakcode opgegeven door VWM 1], [Er ligt rommel op de weg 18];[000], [SPL];SPL;Er ligt rommel op de weg;Lading op de weg;Incident (obstakel op de weg);Incident
2757358;2020-04-20;2020-04-20;15:56:00;16:08:52;28,200;2191,710;12,867;49,7;46,7;A;1;A1;oplopend;Hoevelaken;Barneveld;Amsterdam;Apeldoorn;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 13];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
