NLSitNummer;DatumFileBegin;DatumFileEind;TijdFileBegin;TijdFileEind;FileZwaarte;GemLengte;FileDuur;HectometerKop;HectometerStaart;RouteLet;RouteNum;RouteOms;hectometreringsrichting;KopWegvakVan;KopWegvakNaar;TrajVan;TrajNaar;OorzaakGronddetail;OorzaakVerloop;OorzaakCodeVerloop;OorzaakCode;Oorzaak_1;Oorzaak_2;Oorzaak_3;Oorzaak_4
2747521;2020-03-01;2020-03-01;13:51:00;14:53:37;233,483;3728,773;62,617;49,2;46,2;A;2;A2;oplopend;Vinkeveen;Breukelen;Amsterdam;Utrecht;Defect voertuig (en ander incident);[Geen oorzaakcode opgegeven door VWM 2], [Verkeer ingesloten tussen afrit en incident 1], [Brand in de buurt van de weg 19], [Geen oorzaakcode opgegeven door VWM 10], [Brand in de buurt van de weg 2], [Defect(e) voertuig(en) 20], [Eerder pechgeval 10];[000], [N03], [N53], [000], [N53], [BKD], [M13];BKD;Defect(e) voertuig(en);Defect voertuig;Incident (gestrand voertuig);Incident
2748095;2020-03-02;2020-03-02;8:38:00;9:22:39;98,283;2201,195;44,650;60,4;62,4;A;12;A12;aflopend;Hoograven;Kanaleneiland;Utrecht;Den Haag;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 45];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2747528;2020-03-01;2020-03-01;14:55:00;15:01:41;13,367;2000,000;6,683;14,9;16,9;A;7;A7;aflopend;Purmerend-Noord;Purmerend;Hoorn;Zaanstad;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 7];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2747535;2020-03-01;2020-03-01;16:23:00;18:09:01;221,600;2090,237;106,017;146,0;148,0;A;28;A28;aflopend;Ruinen;Fluitenberg;Assen;Hoogeveen;Hulpdienstvoertuigen;[Geen oorzaakcode opgegeven door VWM 0], [Hulpdienstvoertuigen 52], [Ongevalsonderzoek 27], [Spoedreparatie 27];[000], [EMV], [ACW], [N32];EMV;Hulpdienstvoertuigen;Hulpdiensten;Bijzonder transport;Overige oorzaken
2747531;2020-03-01;2020-03-01;16:14:00;18:08:58;239,533;2083,503;114,967;146,0;144,0;A;28;A28;oplopend;Fluitenberg;Ruinen;Hoogeveen;Assen;Ongeval (met spoedreparatie);[Ongeval(len) 61], [Ongevalsonderzoek 27], [Spoedreparatie 27];[ACI], [ACW], [N32];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
2747523;2020-03-01;2020-03-01;13:56:00;14:11:14;144,533;9487,965;15,233;52,5;58,5;A;2;A2;aflopend;Maarssen;Breukelen;'s-Hertogenbosch;Amsterdam;Verkeer ingesloten tussen afrit en incident;[Geen oorzaakcode opgegeven door VWM 1], [Verkeer ingesloten tussen afrit en incident 14], [Geen oorzaakcode opgegeven door VWM 0];[000], [N03], [000];N03;Verkeer ingesloten tussen afrit en incident;Incident;Incident;Incident
2747524;2020-03-01;2020-03-01;14:12:00;14:16:39;13,950;3000,000;4,650;53,4;56,4;A;2;A2;aflopend;Maarssen;Breukelen;Utrecht;Amsterdam;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 5];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2747514;2020-03-01;2020-03-01;12:32:00;13:00:05;57,183;2036,202;28,083;70,7;68,7;A;2;A2;oplopend;Nieuwegein;Nieuwegein-Zuid;Utrecht;'s-Hertogenbosch;Voorwerpen op de weg;[Geen oorzaakcode opgegeven door VWM 0], [Voorwerpen op de weg 28];[000], [OBR];OBR;Voorwerpen op de weg;Lading op de weg;Incident (obstakel op de weg);Incident
2747921;2020-03-02;2020-03-02;8:06:00;8:16:42;29,400;2747,664;10,700;32,8;34,8;A;67;A67;aflopend;Someren;Geldrop;Venlo;Eindhoven;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 11];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2747682;2020-03-02;2020-03-02;7:24:00;7:28:42;9,400;2000,000;4,700;79,2;81,2;A;2;A2;aflopend;Culemborg;Everdingen;'s-Hertogenbosch;Utrecht;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 5];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
