NLSitNummer;DatumFileBegin;DatumFileEind;TijdFileBegin;TijdFileEind;FileZwaarte;GemLengte;FileDuur;HectometerKop;HectometerStaart;RouteLet;RouteNum;RouteOms;hectometreringsrichting;KopWegvakVan;KopWegvakNaar;TrajVan;TrajNaar;OorzaakGronddetail;OorzaakVerloop;OorzaakCodeVerloop;OorzaakCode;Oorzaak_1;Oorzaak_2;Oorzaak_3;Oorzaak_4
2806383;2021-03-09;2021-03-09;20:18:00;20:23:41;11,367;2000,000;5,683;59,2;57,2;A;4;A4;oplopend;Ketheltunnel;Kethelplein;Den Haag;Rotterdam;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 6];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2808221;2021-03-23;2021-03-23;16:41:00;16:41:34;1,133;2000,000;0,567;23,9;21,9;A;7;A7;oplopend;Purmerend-Noord;Avenhorn;Zaanstad;Hoorn;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 1];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2808149;2021-03-23;2021-03-23;6:51:00;6:58:33;15,100;2000,000;7,550;49,9;51,9;A;15;A15;aflopend;Benelux;Hoogvliet;Ridderkerk;Europoort;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 8];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2808140;2021-03-23;2021-03-23;6:44:00;6:45:36;3,200;2000,000;1,600;54,5;56,5;A;15;A15;aflopend;Rotterdam-Zuidplein;Rotterdam-Charlois;Ridderkerk;Europoort;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2808200;2021-03-23;2021-03-23;16:05:00;16:16:37;23,233;2000,000;11,617;52,4;54,4;A;58;A58;aflopend;Bavel;Tilburg-Reeshof;Breda;Tilburg;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 12];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2809014;2021-03-29;2021-03-29;14:16:00;15:17:18;140,217;2287,384;61,300;20,9;18,9;A;16;A16;oplopend;Rotterdam-Feijenoord;Ridderkerk-Noord;Rotterdam;Breda;Brugopening (en daarna defect voertuig);[Geen oorzaakcode opgegeven door VWM 0], [Brugopening 32], [Defect(e) voertuig(en) 26], [Eerder pechgeval 3];[000], [N73], [BKD], [M13];N73;Brugopening;Brugopening;Blokkade;Hoge intensiteit
2809242;2021-03-30;2021-03-30;17:07:00;18:14:56;178,250;2623,896;67,933;78,3;76,3;A;15;A15;oplopend;Alblasserdam;Papendrecht;Ridderkerk;Gorinchem;Ongeval (in een spitsfile);[Geen oorzaakcode opgegeven door VWM 33], [Ongeval(len) 35], [Geen oorzaakcode opgegeven door VWM 0];[000], [ACI], [000];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
2809405;2021-03-31;2021-03-31;17:01:00;17:06:37;11,233;2000,000;5,617;56,1;58,1;A;4;A4;aflopend;Gaag-Aquaduct;Den Hoorn;Rotterdam;Den Haag;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 6];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2809207;2021-03-30;2021-03-30;16:29:00;16:45:35;40,217;2425,126;16,583;52,4;54,4;A;27;A27;aflopend;Everdingen;Lexmond;Utrecht;Gorinchem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 17];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2809382;2021-03-31;2021-03-31;16:36:00;16:45:35;19,167;2000,000;9,583;86,6;84,6;A;15;A15;oplopend;Sliedrecht-Oost;Hardinxveld-Giessendam;Ridderkerk;Gorinchem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 10];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2809157;2021-03-30;2021-03-30;8:28:00;8:43:32;56,050;3608,369;15,533;19,1;21,1;A;58;A58;aflopend;Oirschot;Best;Tilburg;Eindhoven;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 16];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2809431;2021-03-31;2021-03-31;17:40:00;17:59:39;39,300;2000,000;19,650;43,8;41,8;A;20;A20;oplopend;Nieuwerkerk Aan Den Ijssel;Moordrecht;Hoek van Holland;Gouda;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 20];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2809081;2021-03-29;2021-03-29;17:08:00;17:15:34;16,700;2207,049;7,567;81,1;78,1;A;15;A15;oplopend;Papendrecht;Sliedrecht-West;Ridderkerk;Gorinchem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 8];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2809391;2021-03-31;2021-03-31;16:46:00;16:56:35;21,167;2000,000;10,583;46,8;44,8;A;15;A15;oplopend;Botlektunnel;Botlekbrug;Europoort;Ridderkerk;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 11];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2809139;2021-03-30;2021-03-30;6:31:00;7:15:19;151,700;3423,091;44,317;73,3;70,3;A;4;A4;oplopend;Pernis;Benelux;Den Haag;Rotterdam;Defecte vrachtwagen(s);[Geen oorzaakcode opgegeven door VWM 2], [Defecte vrachtwagen(s) 43], [Geen oorzaakcode opgegeven door VWM 0];[000], [HBD], [000];HBD;Defecte vrachtwagen(s);Defecte vrachtwagen;Incident (gestrand voertuig);Incident
2808978;2021-03-29;2021-03-29;7:53:00;8:11:34;37,133;2000,000;18,567;23,6;25,6;A;1;A1;aflopend;Blaricum;Naarden;Amersfoort;Amsterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 19];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
