NLSitNummer;DatumFileBegin;DatumFileEind;TijdFileBegin;TijdFileEind;FileZwaarte;GemLengte;FileDuur;HectometerKop;HectometerStaart;RouteLet;RouteNum;RouteOms;hectometreringsrichting;KopWegvakVan;KopWegvakNaar;TrajVan;TrajNaar;OorzaakGronddetail;OorzaakVerloop;OorzaakCodeVerloop;OorzaakCode;Oorzaak_1;Oorzaak_2;Oorzaak_3;Oorzaak_4
2794338;2020-11-26;2020-11-26;12:30:00;13:11:44;89,483;2144,169;41,733;44,0;46,0;A;4;A4;aflopend;Prins Clausplein;Leidschendam;Den Haag;Amsterdam;Spoedreparatie;[Geen oorzaakcode opgegeven door VWM 0], [Spoedreparatie 41];[000], [N32];N32;Spoedreparatie;Spoedreparatie;Spoedreparatie;Ongepland onderhoud
2794394;2020-11-26;2020-11-26;16:32:00;16:32:54;1,800;2000,000;0,900;9,0;7,0;A;13;A13;oplopend;Delft-Noord;Delft;Rijswijk;Rotterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 1];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2794379;2020-11-26;2020-11-26;16:09:00;16:10:53;3,767;2000,000;1,883;13,6;11,6;A;13;A13;oplopend;Delft-Zuid;Rotterdam The Hague Airport;Rijswijk;Rotterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2794510;2020-11-27;2020-11-27;12:20:00;17:04:14;1566,617;5511,728;284,233;24,8;26,8;A;16;A16;aflopend;Rotterdam-Prins Alexander;Terbregseplein;Breda;Rotterdam;Modder op het wegdek;[Geen oorzaakcode opgegeven door VWM 1], [Modder op het wegdek 283];[000], [RMD];RMD;Modder op het wegdek;Falen infra;Falen infra;Ongepland onderhoud
2794309;2020-11-26;2020-11-26;8:50:00;9:58:44;137,467;2000,000;68,733;23,5;25,5;A;16;A16;aflopend;Ridderkerk-Noord;Rotterdam-Feijenoord;Breda;Rotterdam;Ongeval(len);[Ongeval(len) 66], [Eerder(e) ongeval(len) 3];[ACI], [ACA];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
2794303;2020-11-26;2020-11-26;8:28:00;8:28:54;2,700;3000,000;0,900;51,0;54,0;A;4;A4;aflopend;Den Haag-Zuid;Rijswijk;Rotterdam;Den Haag;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 1];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2794560;2020-11-27;2020-11-27;15:37:00;16:11:53;70,767;2028,667;34,883;13,8;11,8;N;14;N14;oplopend;Vliettunnel;Leidschendam;Den Haag;Leidschendam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 35];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2794381;2020-11-26;2020-11-26;16:13:00;16:16:53;7,767;2000,000;3,883;138,4;136,4;A;12;A12;oplopend;Westervoort;Duiven;Arnhem;Oberhausen;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 4];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2794385;2020-11-26;2020-11-26;16:20:00;16:33:53;53,533;3855,942;13,883;80,8;86,8;A;15;A15;aflopend;Sliedrecht-Oost;Sliedrecht-West;Gorinchem;Ridderkerk;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 14];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2794294;2020-11-26;2020-11-26;8:02:00;8:06:52;9,733;2000,000;4,867;142,0;144,0;A;12;A12;aflopend;Zevenaar;Duiven;Oberhausen;Arnhem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 5];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2794516;2020-11-27;2020-11-27;13:12:00;13:21:52;23,533;2385,135;9,867;51,2;55,2;A;15;A15;aflopend;Rotterdam-Heijplaat;Benelux;Ridderkerk;Europoort;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 10];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2794561;2020-11-27;2020-11-27;15:37:00;15:38:53;3,767;2000,000;1,883;97,0;99,0;A;15;A15;aflopend;Brug Over Het Merwedekanaal;Gorinchem;Nijmegen;Rotterdam Maasvlakte;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
