NLSitNummer;DatumFileBegin;DatumFileEind;TijdFileBegin;TijdFileEind;FileZwaarte;GemLengte;FileDuur;HectometerKop;HectometerStaart;RouteLet;RouteNum;RouteOms;hectometreringsrichting;KopWegvakVan;KopWegvakNaar;TrajVan;TrajNaar;OorzaakGronddetail;OorzaakVerloop;OorzaakCodeVerloop;OorzaakCode;Oorzaak_1;Oorzaak_2;Oorzaak_3;Oorzaak_4
2922750;2022-01-05;2022-01-05;12:42:00;12:48:27;16,770;2600,000;6,450;8,5;11,1;A;76;A76;aflopend;Spaubeek;Geleen;Aken;Geleen;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 6];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2922758;2022-01-05;2022-01-05;13:11:00;14:35:27;386,158;4572,627;84,450;30,3;34,1;A;20;A20;aflopend;Rotterdam-Schiebroek;Kleinpolderplein;Gouda;Hoek van Holland;Opruimingswerkzaamheden;[Geen oorzaakcode opgegeven door VWM 9], [Politieactie 20], [Opruimingswerkzaamheden 35], [Geen oorzaakcode opgegeven door VWM 20];[000], [M30], [OCL], [000];OCL;Opruimingswerkzaamheden;Opruimwerkzaamheden;Incident (opruimwerkzaamheden);Incident
2922764;2022-01-05;2022-01-05;13:23:00;14:07:53;138,740;3091,125;44,883;146,5;148,6;A;12;A12;aflopend;Oud-Dijk;Zevenaar;Duitse grens;Arnhem;Defecte vrachtwagen(s);[Geen oorzaakcode opgegeven door VWM 7], [Defecte vrachtwagen(s) 29], [Eerder pechgeval 9];[000], [HBD], [M13];HBD;Defecte vrachtwagen(s);Defecte vrachtwagen;Incident (gestrand voertuig);Incident
2922771;2022-01-05;2022-01-05;14:00:00;14:33:28;123,883;3701,693;33,467;160,6;164,5;A;2;A2;aflopend;De Hogt;Batadorp;Maastricht;Eindhoven;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 33];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2922776;2022-01-05;2022-01-05;14:13:00;14:40:27;79,585;2899,271;27,450;142,0;145,3;A;12;A12;aflopend;Zevenaar;Duiven;Duitse grens;Arnhem;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 27];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2923063;2022-01-07;2022-01-07;13:39:00;14:04:27;72,852;2862,541;25,450;9,2;7,1;A;28;A28;oplopend;Den Dolder;Soesterberg;Utrecht;Amersfoort;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 25];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2923064;2022-01-07;2022-01-07;13:39:00;13:59:28;51,167;2500,000;20,467;19,2;16,7;A;16;A16;oplopend;Rotterdam-Feijenoord;Ridderkerk-Noord;Rotterdam;Breda;Ongeval(len);[Geen oorzaakcode opgegeven door VWM 3], [Ongeval(len) 4], [Eerder(e) ongeval(len) 5], [Ongeval(len) 4], [Eerder(e) ongeval(len) 6];[000], [ACI], [ACA], [ACI], [ACA];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
2923066;2022-01-07;2022-01-07;13:43:00;13:53:27;22,990;2200,000;10,450;19,9;17,7;A;16;A16;oplopend;Rotterdam-Kralingen;Rotterdam-Centrum;Rotterdam;Breda;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 10];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2923068;2022-01-07;2022-01-07;13:51:00;15:16:27;365,542;4277,843;85,450;34,7;28,7;A;20;A20;oplopend;Rotterdam-Crooswijk;Terbregseplein;Hoek van Holland;Gouda;Eerder incident op aansluitende weg;[Geen oorzaakcode opgegeven door VWM 4], [Eerder incident op aansluitende weg 82];[000], [M15];M15;Eerder incident op aansluitende weg;Incident elders;Incident;Incident
2923070;2022-01-07;2022-01-07;14:07:00;14:38:27;111,198;3535,718;31,450;22,6;17,7;A;16;A16;oplopend;Rotterdam-Feijenoord;Ridderkerk-Noord;Rotterdam;Breda;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 31];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2923460;2022-01-10;2022-01-10;16:50:00;17:00:27;26,125;2500,000;10,450;102,1;99,6;A;59;A59;oplopend;Oosterhout;Raamsdonksveer;Zonzeel;'s-Hertogenbosch;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 10];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
