NLSitNummer;DatumFileBegin;DatumFileEind;TijdFileBegin;TijdFileEind;FileZwaarte;GemLengte;FileDuur;HectometerKop;HectometerStaart;RouteLet;RouteNum;RouteOms;hectometreringsrichting;KopWegvakVan;KopWegvakNaar;TrajVan;TrajNaar;OorzaakGronddetail;OorzaakVerloop;OorzaakCodeVerloop;OorzaakCode;Oorzaak_1;Oorzaak_2;Oorzaak_3;Oorzaak_4
2763358;2020-06-15;2020-06-15;6:32:00;7:02:47;123,117;3999,459;30,783;84,0;88,0;A;15;A15;aflopend;Sliedrecht-Oost;Sliedrecht-West;Gorinchem;Ridderkerk;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 31];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2763421;2020-06-15;2020-06-15;16:24:00;16:57:10;68,117;2053,769;33,167;1,2;4,2;A;10;A10;aflopend;Amsterdam-Tuindorp Oostzaan;Coenplein;Watergraafsmeer;Coenplein;Onwelwording;[Geen oorzaakcode opgegeven door VWM 0], [Onwelwording 33];[000], [M02];M02;Onwelwording;Incident;Incident;Incident
2763431;2020-06-15;2020-06-15;16:45:00;16:52:47;18,333;2355,460;7,783;98,3;95,3;A;27;A27;oplopend;Hilversum;Eemnes;Utrecht;Almere;Eerder(e) ongeval(len);[Geen oorzaakcode opgegeven door VWM 1], [Eerder(e) ongeval(len) 7];[000], [ACA];ACA;Eerder(e) ongeval(len);Ongeval;Ongeval;Ongeval
2763416;2020-06-15;2020-06-15;16:17:00;16:37:47;41,567;2000,000;20,783;99,7;97,7;A;27;A27;oplopend;Eemnes;Eemnes;Utrecht;Almere;Ongeval(len);[Ongeval(len) 21];[ACI];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
2763425;2020-06-15;2020-06-15;16:35:00;16:59:12;63,400;2619,835;24,200;63,4;65,4;A;16;A16;aflopend;Galder;Breda;Antwerpen;Breda;Opruimingswerkzaamheden;[Geen oorzaakcode opgegeven door VWM 1], [Opruimingswerkzaamheden 22], [Opruimwerkzaamheden 1], [Geen oorzaakcode opgegeven door VWM 0];[000], [OCL], [CLE], [000];OCL;Opruimingswerkzaamheden;Opruimwerkzaamheden;Incident (opruimwerkzaamheden);Incident
2763433;2020-06-15;2020-06-15;16:50:00;17:07:28;47,733;2732,824;17,467;87,3;84,3;A;15;A15;oplopend;Sliedrecht-Oost;Hardinxveld-Giessendam;Ridderkerk;Gorinchem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 17];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2763849;2020-06-17;2020-06-17;14:32:00;14:50:35;37,167;2000,000;18,583;46,9;48,9;A;9;A9;aflopend;Brug Over Het Zijkanaal C;Rottepolderplein;Alkmaar;Amstelveen;Brugopening;[Geen oorzaakcode opgegeven door VWM 2], [Brugopening 16];[000], [N73];N73;Brugopening;Brugopening;Blokkade;Hoge intensiteit
2763868;2020-06-17;2020-06-17;16:18:00;17:22:46;197,250;3045,548;64,767;138,4;135,4;A;12;A12;oplopend;Westervoort;Duiven;Arnhem;Oberhausen;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 65];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2763795;2020-06-17;2020-06-17;6:47:00;6:54:47;16,350;2100,642;7,783;85,9;88,9;A;15;A15;aflopend;Hardinxveld-Giessendam;Sliedrecht-Oost;Gorinchem;Ridderkerk;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 8];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2763844;2020-06-17;2020-06-17;14:15:00;14:23:47;17,567;2000,000;8,783;20,6;22,6;A;16;A16;aflopend;Rotterdam-Prins Alexander;Terbregseplein;Breda;Rotterdam;Brugopening;[Geen oorzaakcode opgegeven door VWM 1], [Brugopening 6], [Geen oorzaakcode opgegeven door VWM 2];[000], [N73], [000];N73;Brugopening;Brugopening;Blokkade;Hoge intensiteit
