NLSitNummer;DatumFileBegin;DatumFileEind;TijdFileBegin;TijdFileEind;FileZwaarte;GemLengte;FileDuur;HectometerKop;HectometerStaart;RouteLet;RouteNum;RouteOms;hectometreringsrichting;KopWegvakVan;KopWegvakNaar;TrajVan;TrajNaar;OorzaakGronddetail;OorzaakVerloop;OorzaakCodeVerloop;OorzaakCode;Oorzaak_1;Oorzaak_2;Oorzaak_3;Oorzaak_4
2932988;2022-02-09;2022-02-09;16:23:33;16:27:00;7,245;2100,000;3,450;7,1;5,0;N;57;N57;oplopend;Brielle/Zwartewaal;Hellevoetsluis/Oudenhoorn;Rotterdam;Voorne-Putten;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 3];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2932989;2022-02-09;2022-02-09;16:24:33;16:27:00;7,405;3022,449;2,450;30,3;1,1;A;10;A10;aflopend;Coenplein;Coentunnel;Watergraafsmeer;De Nieuwe Meer;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2932990;2022-02-09;2022-02-09;16:24:33;16:30:02;11,915;2172,948;5,483;86,5;84,4;A;15;A15;oplopend;Sliedrecht-Oost;Hardinxveld-Giessendam;Ridderkerk;Gorinchem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 5];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2932991;2022-02-09;2022-02-09;16:24:33;16:29:00;10,238;2300,749;4,450;32,3;34,6;A;20;A20;aflopend;Terbregseplein;Rotterdam-Crooswijk;Gouda;Hoek van Holland;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 4];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2932992;2022-02-09;2022-02-09;16:24:33;16:36:00;31,137;2719,360;11,450;102,9;105,6;A;59;A59;aflopend;Waspik;Hooipolder;'s-Hertogenbosch;Zonzeel;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 11];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2933098;2022-02-09;2022-02-09;17:19:34;17:22:00;5,063;2080,822;2,433;23,6;25,6;A;16;A16;aflopend;Ridderkerk-Noord;Rotterdam-Feijenoord;Breda;Rotterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2933100;2022-02-09;2022-02-09;17:20:34;17:24:00;8,412;2450,000;3,433;51,5;53,6;A;15;A15;aflopend;Rotterdam-Heijplaat;Benelux;Ridderkerk;Europoort;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 3];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2933101;2022-02-09;2022-02-09;17:20:34;17:32:00;32,712;2861,079;11,433;122,6;120,3;A;15;A15;oplopend;Geldermalsen;Wadenoijen;Gorinchem;Nijmegen;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 11];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2933102;2022-02-09;2022-02-09;17:20:34;17:22:00;3,153;2200,000;1,433;24,7;26,9;A;20;A20;aflopend;Schiedam-Noord;Kethelplein;Gouda;Hoek van Holland;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 1];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2933103;2022-02-09;2022-02-09;17:20:34;18:23:44;304,312;4817,599;63,167;54,0;52,3;A;28;A28;oplopend;Harderwijk;Elspeet;Amersfoort;Zwolle;Ongeval(len);[Geen oorzaakcode opgegeven door VWM 6], [Ongeval(len) 52], [Eerder(e) ongeval(len) 6];[000], [ACI], [ACA];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
