NLSitNummer;DatumFileBegin;DatumFileEind;TijdFileBegin;TijdFileEind;FileZwaarte;GemLengte;FileDuur;HectometerKop;HectometerStaart;RouteLet;RouteNum;RouteOms;hectometreringsrichting;KopWegvakVan;KopWegvakNaar;TrajVan;TrajNaar;OorzaakGronddetail;OorzaakVerloop;OorzaakCodeVerloop;OorzaakCode;Oorzaak_1;Oorzaak_2;Oorzaak_3;Oorzaak_4
2902392;2021-11-10;2021-11-10;11:38:00;12:32:47;135,342;2470,490;54,783;22,5;28,5;A;28;A28;aflopend;Hoevelaken;Amersfoort;Zwolle;Utrecht;Ongeval en (file buiten spits zonder oorzaak);[Geen oorzaakcode opgegeven door VWM 40], [Ongeval(len) 5], [Eerder(e) ongeval(len) 10];[000], [ACI], [ACA];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
2907208;2021-11-19;2021-11-19;18:06:44;19:01:21;191,533;3506,866;54,617;176,1;174,1;A;2;A2;oplopend;Leenderheide/Randweg N2;Valkenswaard;Eindhoven;Maastricht;Ongeval(len);[Ongeval(len) 23], [Eerder(e) ongeval(len) 31];[ACI], [ACA];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
2907094;2021-11-19;2021-11-19;16:48:00;17:25:31;111,233;2964,905;37,517;51,2;53,8;A;15;A15;aflopend;Rotterdam-Heijplaat;Benelux;Ridderkerk;Europoort;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 38];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2906029;2021-11-17;2021-11-17;16:06:00;18:45:18;582,520;3656,748;159,300;5,1;8,4;A;1;A1;aflopend;Diemen-Noord;Watergraafsmeer;Amersfoort;Amsterdam;Incident op aansluitende weg;[Geen oorzaakcode opgegeven door VWM 18], [Incident op aansluitende weg 142];[000], [N69];N69;Incident op aansluitende weg;Incident elders;Incident;Incident
2902687;2021-11-10;2021-11-10;16:41:00;18:11:55;274,215;3016,114;90,917;34,8;37,0;A;27;A27;aflopend;Merwedebrug;Werkendam;Gorinchem;Breda;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 91];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2905395;2021-11-16;2021-11-16;8:19:00;8:31:23;24,767;2000,000;12,383;24,1;26,1;A;58;A58;aflopend;Moergestel;Oirschot;Tilburg;Eindhoven;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 12];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2905553;2021-11-16;2021-11-16;16:19:00;16:27:26;20,240;2400,000;8,433;203,6;201,2;A;50;A50;oplopend;Loenen;Beekbergen;Arnhem;Apeldoorn;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 8];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2908521;2021-11-24;2021-11-24;6:36:00;9:17:25;467,887;2898,627;161,417;5,1;8,0;A;1;A1;aflopend;Diemen-Noord;Watergraafsmeer;Amersfoort;Amsterdam;Wegdek in slechte toestand;[Geen oorzaakcode opgegeven door VWM 3], [Wegwerkzaamheden 14], [Wegdek in slechte toestand 144];[000], [RWK], [RPC];RPC;Wegdek in slechte toestand;Slecht wegdek;Falen Infra;Ongepland onderhoud
2905548;2021-11-16;2021-11-16;16:17:00;16:59:25;131,492;3100,000;42,417;56,1;59,2;A;4;A4;aflopend;Gaag-Aquaduct;Den Hoorn;Rotterdam;Den Haag;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 42];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2902670;2021-11-10;2021-11-10;16:38:00;17:05:01;71,592;2649,908;27,017;73,0;75,5;A;4;A4;aflopend;Beneluxtunnel;Vlaardingen-Oost;Rotterdam;Den Haag;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 27];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
