NLSitNummer;DatumFileBegin;DatumFileEind;TijdFileBegin;TijdFileEind;FileZwaarte;GemLengte;FileDuur;HectometerKop;HectometerStaart;RouteLet;RouteNum;RouteOms;hectometreringsrichting;KopWegvakVan;KopWegvakNaar;TrajVan;TrajNaar;OorzaakGronddetail;OorzaakVerloop;OorzaakCodeVerloop;OorzaakCode;Oorzaak_1;Oorzaak_2;Oorzaak_3;Oorzaak_4
2838746;2021-08-04;2021-08-04;16:51:00;17:19:04;103,250;3678,741;28,067;201,7;205,7;A;2;A2;aflopend;Kelpen-Oler;Nederweert;Maastricht;Eindhoven;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 28];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2839087;2021-08-06;2021-08-06;13:50:00;14:14:05;69,183;2872,664;24,083;164,7;166,7;A;2;A2;aflopend;Leenderheide;De Hogt;Maastricht;Eindhoven;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 24];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2838413;2021-08-01;2021-08-01;11:39:00;11:39:14;0,467;2000,000;0,233;50,0;52,0;A;1;A1;aflopend;Hoevelaken;Hoevelaken;Apeldoorn;Amsterdam;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 0];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2838566;2021-08-02;2021-08-02;17:28:00;17:30:00;4,000;2000,000;2,000;27,6;25,6;A;27;A27;oplopend;Hank;Nieuwendijk;Breda;Gorinchem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2838507;2021-08-02;2021-08-02;12:03:00;12:06:02;9,100;3000,000;3,033;36,4;39,4;A;28;A28;aflopend;Strand Nulde;Nijkerk;Zwolle;Amersfoort;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 3];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2838632;2021-08-03;2021-08-03;12:55:00;13:01:01;14,083;2340,720;6,017;31,5;34,5;A;20;A20;aflopend;Rotterdam-Crooswijk;Rotterdam-Schiebroek;Gouda;Hoek van Holland;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 6];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2838640;2021-08-03;2021-08-03;14:03:00;14:10:18;19,633;2689,498;7,300;12,2;9,2;A;76;A76;oplopend;Nuth;Ten Esschen;Geleen;Aken;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 7], [Ongeval(len) 0];[000], [ACI];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2838876;2021-08-05;2021-08-05;16:34:00;16:39:03;10,100;2000,000;5,050;51,8;53,8;A;58;A58;aflopend;Bavel;Tilburg-Reeshof;Breda;Tilburg;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 5];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2839235;2021-08-06;2021-08-06;17:23:00;17:37:03;28,100;2000,000;14,050;31,6;33,6;A;20;A20;aflopend;Rotterdam-Crooswijk;Rotterdam-Schiebroek;Gouda;Hoek van Holland;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 14];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2839218;2021-08-06;2021-08-06;16:52:00;18:22:09;341,483;3787,946;90,150;51,5;53,5;A;1;A1;aflopend;Barneveld;Hoevelaken;Apeldoorn;Amsterdam;Ongeval(len);[Ongeval(len) 85], [Eerder(e) ongeval(len) 5];[ACI], [ACA];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
2838954;2021-08-06;2021-08-06;11:20:00;11:22:04;4,133;2000,000;2,067;49,3;51,3;A;9;A9;aflopend;Velsen;Brug Over Het Zijkanaal C;Alkmaar;Amstelveen;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2839048;2021-08-06;2021-08-06;13:04:00;13:11:02;14,067;2000,000;7,033;24,0;26,0;A;27;A27;aflopend;Nieuwendijk;Hank;Gorinchem;Breda;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 7];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2839497;2021-08-09;2021-08-09;17:31:00;17:34:01;6,033;2000,000;3,017;45,3;43,3;A;27;A27;oplopend;Noordeloos;Lexmond;Gorinchem;Utrecht;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 3];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2838765;2021-08-04;2021-08-04;19:35:00;20:44:33;187,033;2689,192;69,550;32,7;30,7;A;20;A20;oplopend;Rotterdam-Crooswijk;Terbregseplein;Hoek van Holland;Gouda;Ongeval(len);[Geen oorzaakcode opgegeven door VWM 0], [Ongeval(len) 69], [Eerder(e) ongeval(len) 0], [Geen oorzaakcode opgegeven door VWM 0];[000], [ACI], [ACA], [000];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
2838731;2021-08-04;2021-08-04;15:38:00;16:24:03;116,133;2521,897;46,050;31,4;29,4;A;20;A20;oplopend;Rotterdam-Crooswijk;Terbregseplein;Hoek van Holland;Gouda;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 46];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2839174;2021-08-06;2021-08-06;15:28:00;15:36:04;24,200;3000,000;8,067;138,4;135,4;A;12;A12;oplopend;Westervoort;Duiven;Arnhem;Duitse grens;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 8];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2839172;2021-08-06;2021-08-06;15:20:00;15:25:04;10,133;2000,000;5,067;27,1;29,1;A;58;A58;aflopend;Moergestel;Oirschot;Tilburg;Eindhoven;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 5];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2839043;2021-08-06;2021-08-06;13:00:00;13:38:05;109,767;2882,276;38,083;61,6;63,6;A;28;A28;aflopend;Elspeet;Harderwijk;Zwolle;Amersfoort;Ongeval(len);[Geen oorzaakcode opgegeven door VWM 5], [Ongeval(len) 27], [Eerder(e) ongeval(len) 6];[000], [ACI], [ACA];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
2838528;2021-08-02;2021-08-02;13:38:00;13:44:01;12,033;2000,000;6,017;52,3;54,3;A;58;A58;aflopend;Bavel;Tilburg-Reeshof;Breda;Tilburg;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 6];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2838516;2021-08-02;2021-08-02;12:39:00;12:45:02;12,067;2000,000;6,033;166,6;168,6;A;2;A2;aflopend;Leenderheide;De Hogt;Maastricht;Eindhoven;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 6];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2838737;2021-08-04;2021-08-04;16:22:00;16:51:14;76,300;2610,034;29,233;71,9;73,9;A;4;A4;aflopend;Beneluxtunnel;Vlaardingen-Oost;Rotterdam;Den Haag;Ongeval(len);[Geen oorzaakcode opgegeven door VWM 0], [Ongeval(len) 29], [Eerder(e) ongeval(len) 0];[000], [ACI], [ACA];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
2838773;2021-08-04;2021-08-04;21:55:00;22:00:02;10,067;2000,000;5,033;24,3;22,3;A;27;A27;oplopend;Keizersveerbrug;Hank;Breda;Gorinchem;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 5];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2839085;2021-08-06;2021-08-06;13:50:00;13:52:08;4,267;2000,000;2,133;123,2;121,2;A;12;A12;oplopend;Grijsoord;Waterberg;Utrecht;Arnhem;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
