NLSitNummer;DatumFileBegin;DatumFileEind;TijdFileBegin;TijdFileEind;FileZwaarte;GemLengte;FileDuur;HectometerKop;HectometerStaart;RouteLet;RouteNum;RouteOms;hectometreringsrichting;KopWegvakVan;KopWegvakNaar;TrajVan;TrajNaar;OorzaakGronddetail;OorzaakVerloop;OorzaakCodeVerloop;OorzaakCode;Oorzaak_1;Oorzaak_2;Oorzaak_3;Oorzaak_4
2819499;2021-05-27;2021-05-27;8:11:00;9:19:29;136,967;2000,000;68,483;136,0;138,0;A;12;A12;aflopend;Duiven;Westervoort;Duitse grens;Arnhem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 68];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2819826;2021-05-28;2021-05-28;12:51:00;12:55:13;8,433;2000,000;4,217;68,5;66,5;A;1;A1;oplopend;Stroe;Kootwijk;Amersfoort;Apeldoorn;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 4];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2820450;2021-05-31;2021-05-31;8:36:00;9:07:13;89,383;2863,321;31,217;20,6;22,6;A;325;A325;aflopend;Arnhem-Centrum;Elden;Arnhem Velperbroek;Kleve (D);Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 31];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2819960;2021-05-28;2021-05-28;15:51:00;16:28:16;159,383;4276,834;37,267;32,3;27,3;A;28;A28;oplopend;Amersfoort-Vathorst;Nijkerk;Utrecht;Zwolle;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 37];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2819649;2021-05-27;2021-05-27;16:31:00;17:07:15;119,367;3292,874;36,250;82,9;80,9;A;15;A15;oplopend;Sliedrecht-West;Sliedrecht-Oost;Ridderkerk;Gorinchem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 36];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2819778;2021-05-28;2021-05-28;7:47:00;8:09:48;45,600;2000,000;22,800;21,8;23,8;A;16;A16;aflopend;Ridderkerk-Noord;Rotterdam-Feijenoord;Breda;Rotterdam;Defect(e) voertuig(en);[Defect(e) voertuig(en) 11], [Eerder pechgeval 12];[BKD], [M13];BKD;Defect(e) voertuig(en);Defect voertuig;Incident (gestrand voertuig);Incident
2819705;2021-05-27;2021-05-27;17:30:00;17:49:15;51,767;2689,178;19,250;22,6;19,6;A;16;A16;oplopend;Rotterdam-Feijenoord;Ridderkerk-Noord;Rotterdam;Breda;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 19];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2820160;2021-05-28;2021-05-28;17:44:00;19:04:13;456,583;5691,876;80,217;53,4;50,4;A;1;A1;oplopend;Hoevelaken;Barneveld;Amsterdam;Apeldoorn;Ongeval(len);[Geen oorzaakcode opgegeven door VWM 1], [Ongeval(len) 37], [Eerder(e) ongeval(len) 42];[000], [ACI], [ACA];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
2820413;2021-05-31;2021-05-31;6:59:00;8:28:15;334,500;3747,899;89,250;60,5;58,5;A;4;A4;oplopend;Ketheltunnel;Kethelplein;Den Haag;Rotterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 89];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2820151;2021-05-28;2021-05-28;17:34:00;17:45:16;24,533;2177,515;11,267;83,5;85,5;A;15;A15;aflopend;Sliedrecht-Oost;Sliedrecht-West;Gorinchem;Ridderkerk;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 11];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2819535;2021-05-27;2021-05-27;8:44:00;9:04:15;41,500;2049,383;20,250;27,7;25,7;A;1;A1;oplopend;Hotel/Restaurant De Witte Bergen;Eemnes;Amsterdam;Amersfoort;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 20];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2820082;2021-05-28;2021-05-28;16:50:00;17:03:15;26,500;2000,000;13,250;203,6;201,6;A;50;A50;oplopend;Loenen;Beekbergen;Arnhem;Apeldoorn;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 13];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2819858;2021-05-28;2021-05-28;14:41:00;14:59:15;36,500;2000,000;18,250;17,8;19,8;A;58;A58;aflopend;Oirschot;Best;Tilburg;Eindhoven;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 18];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2820296;2021-05-29;2021-05-29;15:00:00;15:14:14;37,467;2632,319;14,233;57,8;55,8;A;4;A4;oplopend;Ketheltunnel;Kethelplein;Den Haag;Rotterdam;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 14];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2820335;2021-05-30;2021-05-30;12:17:00;12:47:14;142,283;4706,174;30,233;52,1;50,1;A;9;A9;oplopend;Wijkertunnel;Beverwijk-Oost;Amstelveen;Alkmaar;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 30];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2820508;2021-05-31;2021-05-31;15:46:00;15:47:19;2,633;2000,000;1,317;78,5;76,5;A;15;A15;oplopend;Alblasserdam;Papendrecht;Ridderkerk;Gorinchem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 1];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2819691;2021-05-27;2021-05-27;17:08:00;17:13:13;10,433;2000,000;5,217;52,4;54,4;A;58;A58;aflopend;Bavel;Tilburg-Reeshof;Breda;Tilburg;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 5];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2820430;2021-05-31;2021-05-31;7:39:00;9:00:14;329,517;4056,422;81,233;22,6;20,6;A;20;A20;oplopend;Vlaardingen;Kethelplein;Hoek van Holland;Gouda;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 81];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2819601;2021-05-27;2021-05-27;13:28:00;13:47:14;44,433;2310,225;19,233;39,1;41,1;A;27;A27;aflopend;Noordeloos;Gorinchem;Almere;Breda;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 19];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2820434;2021-05-31;2021-05-31;7:42:00;9:11:44;350,133;3901,932;89,733;78,4;80,4;A;27;A27;aflopend;Utrecht-De Uithof;Lunetten;Utrecht;Gorinchem;Defect voertuig (met opruim/berging);[Geen oorzaakcode opgegeven door VWM 0], [Defect(e) voertuig(en) 0], [Opruimingswerkzaamheden 14], [Eerder pechgeval 75];[000], [BKD], [OCL], [M13];BKD;Defect(e) voertuig(en);Defect voertuig;Incident (gestrand voertuig);Incident
2819661;2021-05-27;2021-05-27;16:39:00;16:49:13;20,433;2000,000;10,217;52,3;54,3;A;58;A58;aflopend;Bavel;Tilburg-Reeshof;Breda;Tilburg;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 10];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2820040;2021-05-28;2021-05-28;16:32:00;16:33:15;3,750;3000,000;1,250;165,0;162,0;A;50;A50;oplopend;Renkum;Grijsoord;Oss;Arnhem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 1];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2819544;2021-05-27;2021-05-27;8:50:00;9:02:14;27,483;2246,594;12,233;21,0;19,0;N;325;N325;oplopend;A325: Arnhem-Centrum;Winkelcentrum Kronenburg;Kleve (D);Arnhem Velperbroek;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 12];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
