NLSitNummer;DatumFileBegin;DatumFileEind;TijdFileBegin;TijdFileEind;FileZwaarte;GemLengte;FileDuur;HectometerKop;HectometerStaart;RouteLet;RouteNum;RouteOms;hectometreringsrichting;KopWegvakVan;KopWegvakNaar;TrajVan;TrajNaar;OorzaakGronddetail;OorzaakVerloop;OorzaakCodeVerloop;OorzaakCode;Oorzaak_1;Oorzaak_2;Oorzaak_3;Oorzaak_4
2782431;2020-09-10;2020-09-10;10:49:00;10:58:04;18,133;2000,000;9,067;98,5;96,5;A;15;A15;oplopend;Brug Over De Linge Hm 98.7;Arkel;Rotterdam Maasvlakte;Nijmegen;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 9];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2782259;2020-09-09;2020-09-09;16:20:00;16:28:08;16,267;2000,000;8,133;48,7;50,7;A;27;A27;aflopend;Lexmond;Noordeloos;Utrecht;Gorinchem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 8];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2782425;2020-09-10;2020-09-10;10:24:00;10:33:36;19,200;2000,000;9,600;36,1;38,1;A;20;A20;aflopend;Prins Alexander;Terbregseplein;Gouda;Hoek van Holland;Incident op aansluitende weg;[Geen oorzaakcode opgegeven door VWM 1], [Incident op aansluitende weg 6], [Eerder(e) ongeval(len) 2], [Geen oorzaakcode opgegeven door VWM 0];[000], [N69], [ACA], [000];N69;Incident op aansluitende weg;Incident elders;Incident;Incident
2785033;2020-09-18;2020-09-18;17:24:00;17:52:07;137,933;4905,750;28,117;31,8;23,8;A;4;A4;oplopend;Limesaquaduct;Zoeterwoude-Rijndijk;Amsterdam;Den Haag;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 28];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2782393;2020-09-10;2020-09-10;6:46:00;7:03:42;43,450;2454,802;17,700;46,2;48,2;A;15;A15;aflopend;Botlektunnel;Spijkenisse;Ridderkerk;Europoort;Ongeval(len);[Geen oorzaakcode opgegeven door VWM 1], [Ongeval(len) 6], [Eerder(e) ongeval(len) 11];[000], [ACI], [ACA];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
2782197;2020-09-09;2020-09-09;15:44:00;16:36:21;211,150;4033,429;52,350;56,4;60,4;A;59;A59;aflopend;Fijnaart;Sabina;Noordhoek;Sabina;Extra verkeersdrukte door verkeer dat een omleiding volgt;[Extra verkeersdrukte door verkeer dat een omleiding volgt 35], [Geen oorzaakcode opgegeven door VWM 17];[N61], [000];N61;Extra verkeersdrukte door verkeer dat een omleiding volgt;Werkzaamheden elders;Werkzaamheden;Aanleg en gepland onderhoud
2782068;2020-09-08;2020-09-08;17:15:00;17:40:06;58,250;2320,717;25,100;53,9;55,9;A;58;A58;aflopend;Bavel;Tilburg-Reeshof;Breda;Tilburg;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 25];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2781852;2020-09-07;2020-09-07;16:18:00;17:01:30;117,000;2689,655;43,500;1,8;3,8;A;28;A28;aflopend;Utrecht-De Uithof;Rijnsweerd;Amersfoort;Utrecht;Ongeval op aansluitende weg;[Geen oorzaakcode opgegeven door VWM 3], [Ongeval op aansluitende weg 13], [Eerder(e) ongeval(len) 0], [Eerder ongeval op aansluitende weg 27], [Geen oorzaakcode opgegeven door VWM 0];[000], [N65], [ACA], [M14], [000];N65;Ongeval op aansluitende weg;Ongeval elders;Ongeval;Ongeval
2782515;2020-09-10;2020-09-10;16:21:00;16:54:05;105,150;3178,338;33,083;136,9;134,9;A;12;A12;oplopend;Westervoort;Duiven;Arnhem;Oberhausen;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 33];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2782288;2020-09-09;2020-09-09;16:42:00;16:47:06;10,200;2000,000;5,100;18,4;16,4;A;7;A7;oplopend;Purmerend-Noord;Avenhorn;Zaanstad;Hoorn;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 5];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2781989;2020-09-08;2020-09-08;12:44:00;13:21:03;109,083;2944,220;37,050;35,2;33,2;A;27;A27;oplopend;Merwedebrug;Industrieterrein Avelingen;Breda;Gorinchem;Defecte vrachtwagen(s);[Geen oorzaakcode opgegeven door VWM 1], [Brugopening 13], [Geen oorzaakcode opgegeven door VWM 4], [Defecte vrachtwagen(s) 5], [Geen oorzaakcode opgegeven door VWM 15];[000], [N73], [000], [HBD], [000];HBD;Defecte vrachtwagen(s);Defecte vrachtwagen;Incident (gestrand voertuig);Incident
