NLSitNummer;DatumFileBegin;DatumFileEind;TijdFileBegin;TijdFileEind;FileZwaarte;GemLengte;FileDuur;HectometerKop;HectometerStaart;RouteLet;RouteNum;RouteOms;hectometreringsrichting;KopWegvakVan;KopWegvakNaar;TrajVan;TrajNaar;OorzaakGronddetail;OorzaakVerloop;OorzaakCodeVerloop;OorzaakCode;Oorzaak_1;Oorzaak_2;Oorzaak_3;Oorzaak_4
2759590;2020-05-17;2020-05-17;16:01:00;17:01:14;120,467;2000,000;60,233;21,0;19,0;A;10;A10;oplopend;Schinkelbrug;De Nieuwe Meer;Amstel;Coenplein;Opruimingswerkzaamheden;[Opruimingswerkzaamheden 60];[OCL];OCL;Opruimingswerkzaamheden;Opruimwerkzaamheden;Incident (opruimwerkzaamheden);Incident
2760313;2020-05-24;2020-05-24;15:10:00;16:18:49;253,067;3677,404;68,817;76,3;79,3;A;28;A28;aflopend;Wezep;'t Harde;Zwolle;Amersfoort;Spoedreparatie;[Geen oorzaakcode opgegeven door VWM 0], [Spoedreparatie 69];[000], [N32];N32;Spoedreparatie;Spoedreparatie;Spoedreparatie;Ongepland onderhoud
2760403;2020-05-25;2020-05-25;16:05:00;16:25:40;60,300;2917,742;20,667;31,4;27,4;A;20;A20;oplopend;Rotterdam-Crooswijk;Terbregseplein;Hoek van Holland;Gouda;Ongeval(len);[Geen oorzaakcode opgegeven door VWM 11], [Ongeval(len) 10];[000], [ACI];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
2760310;2020-05-24;2020-05-24;14:57:00;15:10:50;27,667;2000,000;13,833;55,1;57,1;A;1;A1;aflopend;Voorthuizen;Barneveld;Apeldoorn;Amersfoort;Ongeval (met opruim/berging);[Geen oorzaakcode opgegeven door VWM 1], [Ongeval(len) 1], [Opruimwerkzaamheden 1], [Opruimingswerkzaamheden 11], [Geen oorzaakcode opgegeven door VWM 0];[000], [ACI], [CLE], [OCL], [000];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
2760433;2020-05-25;2020-05-25;16:51:00;16:52:44;3,467;2000,000;1,733;18,5;16,5;A;5;A5;oplopend;Amsterdam-Westpoort;Westrandweg;Hoofddorp;Amsterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2760299;2020-05-24;2020-05-24;13:45:00;14:24:41;86,367;2176,397;39,683;22,5;24,5;A;10;A10;aflopend;Osdorp;Amsterdam-Slotervaart;Coenplein;De Nieuwe Meer;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 40];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2759585;2020-05-17;2020-05-17;13:40:00;14:03:41;49,383;2085,151;23,683;165,4;167,4;N;2;N2;aflopend;A67: De Hogt/Randweg N2-Zuid;A67: De Hogt/Randweg N2-West;Leenderheide;Batadorp;Ongeval(len);[Geen oorzaakcode opgegeven door VWM 1], [Ongeval(len) 13], [Eerder(e) ongeval(len) 10];[000], [ACI], [ACA];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
2759678;2020-05-18;2020-05-18;16:13:00;16:39:40;81,367;3051,250;26,667;31,4;29,4;A;20;A20;oplopend;Rotterdam-Crooswijk;Terbregseplein;Hoek van Holland;Gouda;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 27];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2759611;2020-05-18;2020-05-18;7:20:00;7:36:40;40,350;2421,000;16,667;20,0;18,0;N;325;N325;oplopend;Arnhem-Centrum;A325: Arnhem-Centrum;Kleve (D);Arnhem Velperbroek;Er ligt rommel op de weg;[Geen oorzaakcode opgegeven door VWM 0], [Voorwerpen op de weg 0], [Er ligt rommel op de weg 7], [Geen oorzaakcode opgegeven door VWM 9];[000], [OBR], [SPL], [000];SPL;Er ligt rommel op de weg;Lading op de weg;Incident (obstakel op de weg);Incident
2759679;2020-05-18;2020-05-18;16:15:00;16:48:40;83,033;2466,337;33,667;46,8;42,8;A;15;A15;oplopend;Botlektunnel;Botlekbrug;Europoort;Ridderkerk;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 34];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
