ID;Perioden;BenzineEuro95_1;Diesel_2;Lpg_3
0;20060101;1.325;1.003;0.543
1;20060102;1.328;1.007;0.542
2;20060103;1.332;1.007;0.54
3;20060104;1.348;1.02;0.55
4;20060105;1.347;1.021;0.55
5;20060106;1.353;1.023;0.549
6;20060107;1.361;1.022;0.555
7;20060108;1.36;1.022;0.55
8;20060109;1.362;1.024;0.554
9;20060110;1.368;1.022;0.552
10;20060111;1.369;1.018;0.56
11;20060112;1.363;1.011;0.558
12;20060113;1.361;1.009;0.559
13;20060114;1.355;1.006;0.559
14;20060115;1.356;1.005;0.561
15;20060116;1.354;1.005;0.558
16;20060117;1.355;1.007;0.556
17;20060118;1.36;1.013;0.561
18;20060119;1.363;1.016;0.561
19;20060120;1.368;1.016;0.561
20;20060121;1.37;1.021;0.559
21;20060122;1.369;1.02;0.559
22;20060123;1.369;1.021;0.56
23;20060124;1.368;1.031;0.564
24;20060125;1.369;1.031;0.565
25;20060126;1.356;1.025;0.568
26;20060127;1.351;1.023;0.567
27;20060128;1.351;1.025;0.565
28;20060129;1.351;1.025;0.568
29;20060130;1.351;1.025;0.566
30;20060131;1.361;1.032;0.569
31;20060201;1.36;1.032;0.567
32;20060202;1.36;1.031;0.566
33;20060203;1.353;1.028;0.567
34;20060204;1.344;1.024;0.564
35;20060205;1.344;1.024;0.565
36;20060206;1.342;1.024;0.564
37;20060207;1.341;1.026;0.565
38;20060208;1.341;1.026;0.559
39;20060209;1.336;1.02;0.558
40;20060210;1.331;1.018;0.56
41;20060211;1.323;1.013;0.56
42;20060212;1.323;1.013;0.56
43;20060213;1.322;1.014;0.559
44;20060214;1.321;1.014;0.556
45;20060215;1.314;1.011;0.547
46;20060216;1.31;1.007;0.551
47;20060217;1.311;1.007;0.549
48;20060218;1.315;1.009;0.55
49;20060219;1.316;1.008;0.547
50;20060220;1.316;1.01;0.545
51;20060221;1.326;1.023;0.547
52;20060222;1.33;1.026;0.54
53;20060223;1.329;1.024;0.539
54;20060224;1.324;1.02;0.539
55;20060225;1.325;1.023;0.537
56;20060226;1.323;1.023;0.536
57;20060227;1.323;1.025;0.538
58;20060228;1.324;1.026;0.542
59;20060301;1.322;1.026;0.535
60;20060302;1.324;1.031;0.532
61;20060303;1.329;1.043;0.53
62;20060304;1.333;1.053;0.525
63;20060305;1.333;1.052;0.528
64;20060306;1.334;1.053;0.527
65;20060307;1.335;1.055;0.527
66;20060308;1.329;1.049;0.523
67;20060309;1.326;1.047;0.522
68;20060310;1.331;1.044;0.525
69;20060311;1.349;1.041;0.522
70;20060312;1.349;1.041;0.523
71;20060313;1.35;1.041;0.524
72;20060314;1.351;1.038;0.518
73;20060315;1.364;1.041;0.519
74;20060316;1.366;1.043;0.517
75;20060317;1.368;1.044;0.52
76;20060318;1.373;1.046;0.522
77;20060319;1.372;1.045;0.524
78;20060320;1.372;1.045;0.522
79;20060321;1.372;1.043;0.518
80;20060322;1.365;1.038;0.518
81;20060323;1.362;1.036;0.519
82;20060324;1.361;1.038;0.52
83;20060325;1.374;1.047;0.518
84;20060326;1.373;1.047;0.518
85;20060327;1.373;1.049;0.52
86;20060328;1.376;1.052;0.522
87;20060329;1.38;1.052;0.519
88;20060330;1.394;1.056;0.517
89;20060331;1.403;1.06;0.519
90;20060401;1.407;1.062;0.517
91;20060402;1.405;1.062;0.517
92;20060403;1.406;1.062;0.519
93;20060404;1.406;1.063;0.521
94;20060405;1.407;1.063;0.529
95;20060406;1.407;1.061;0.53
96;20060407;1.419;1.059;0.528
97;20060408;1.421;1.057;0.528
98;20060409;1.421;1.056;0.53
99;20060410;1.421;1.058;0.532
100;20060411;1.425;1.062;0.53
101;20060412;1.434;1.075;0.526
102;20060413;1.436;1.077;0.526
103;20060414;1.438;1.08;0.525
104;20060415;1.437;1.081;0.521
105;20060416;1.436;1.079;0.524
106;20060417;1.437;1.08;0.525
107;20060418;1.439;1.081;0.523
108;20060419;1.443;1.085;0.523
109;20060420;1.443;1.088;0.522
110;20060421;1.45;1.095;0.52
111;20060422;1.449;1.099;0.523
112;20060423;1.448;1.099;0.524
113;20060424;1.448;1.101;0.521
114;20060425;1.447;1.1;0.523
115;20060426;1.448;1.101;0.515
116;20060427;1.449;1.101;0.514
117;20060428;1.446;1.096;0.516
118;20060429;1.434;1.083;0.513
119;20060430;1.433;1.082;0.511
120;20060501;1.432;1.083;0.51
121;20060502;1.437;1.084;0.51
122;20060503;1.449;1.086;0.506
123;20060504;1.455;1.089;0.503
124;20060505;1.456;1.087;0.504
125;20060506;1.441;1.075;0.5
126;20060507;1.441;1.072;0.501
127;20060508;1.44;1.073;0.503
128;20060509;1.437;1.069;0.502
129;20060510;1.43;1.066;0.501
130;20060511;1.428;1.067;0.502
131;20060512;1.444;1.081;0.503
132;20060513;1.451;1.084;0.502
133;20060514;1.451;1.083;0.5
134;20060515;1.452;1.084;0.501
135;20060516;1.445;1.076;0.502
136;20060517;1.433;1.069;0.498
137;20060518;1.426;1.068;0.501
138;20060519;1.416;1.062;0.498
139;20060520;1.419;1.067;0.496
140;20060521;1.417;1.067;0.497
141;20060522;1.418;1.068;0.497
142;20060523;1.414;1.064;0.5
143;20060524;1.418;1.065;0.497
144;20060525;1.422;1.066;0.496
145;20060526;1.421;1.066;0.493
146;20060527;1.423;1.066;0.494
147;20060528;1.423;1.065;0.495
148;20060529;1.423;1.067;0.496
149;20060530;1.43;1.071;0.494
150;20060531;1.435;1.075;0.49
151;20060601;1.437;1.075;0.492
152;20060602;1.436;1.076;0.495
153;20060603;1.446;1.074;0.491
154;20060604;1.446;1.073;0.49
155;20060605;1.446;1.073;0.491
156;20060606;1.447;1.074;0.493
157;20060607;1.453;1.081;0.49
158;20060608;1.454;1.082;0.493
159;20060609;1.449;1.078;0.492
160;20060610;1.45;1.077;0.488
161;20060611;1.449;1.078;0.49
162;20060612;1.45;1.079;0.49
163;20060613;1.457;1.093;0.494
164;20060614;1.454;1.091;0.494
165;20060615;1.442;1.087;0.499
166;20060616;1.437;1.082;0.498
167;20060617;1.436;1.078;0.499
168;20060618;1.437;1.081;0.497
169;20060619;1.437;1.081;0.501
170;20060620;1.432;1.076;0.497
171;20060621;1.43;1.074;0.497
172;20060622;1.427;1.069;0.499
173;20060623;1.436;1.074;0.495
174;20060624;1.438;1.074;0.494
175;20060625;1.437;1.074;0.493
176;20060626;1.438;1.075;0.498
177;20060627;1.446;1.077;0.499
178;20060628;1.456;1.083;0.502
179;20060629;1.456;1.084;0.506
180;20060630;1.458;1.085;0.505
181;20060701;1.459;1.086;0.503
182;20060702;1.459;1.085;0.505
183;20060703;1.459;1.086;0.505
184;20060704;1.461;1.086;0.504
185;20060705;1.463;1.086;0.506
186;20060706;1.462;1.085;0.51
187;20060707;1.469;1.086;0.509
188;20060708;1.475;1.088;0.507
189;20060709;1.474;1.088;0.508
190;20060710;1.474;1.088;0.511
191;20060711;1.47;1.081;0.509
192;20060712;1.468;1.077;0.508
193;20060713;1.468;1.076;0.513
194;20060714;1.477;1.082;0.51
195;20060715;1.484;1.089;0.512
196;20060716;1.484;1.089;0.507
197;20060717;1.482;1.089;0.512
198;20060718;1.49;1.096;0.517
199;20060719;1.49;1.096;0.518
200;20060720;1.488;1.094;0.521
201;20060721;1.482;1.086;0.52
202;20060722;1.479;1.082;0.522
203;20060723;1.477;1.081;0.52
204;20060724;1.478;1.081;0.523
205;20060725;1.477;1.077;0.521
206;20060726;1.483;1.08;0.526
207;20060727;1.484;1.081;0.532
208;20060728;1.483;1.08;0.53
209;20060729;1.484;1.08;0.529
210;20060730;1.484;1.081;0.529
211;20060731;1.484;1.081;0.528
212;20060801;1.475;1.081;0.533
213;20060802;1.475;1.088;0.534
214;20060803;1.474;1.092;0.532
215;20060804;1.484;1.099;0.536
216;20060805;1.486;1.1;0.532
217;20060806;1.487;1.1;0.534
218;20060807;1.487;1.101;0.534
219;20060808;1.487;1.1;0.535
220;20060809;1.479;1.101;0.535
221;20060810;1.475;1.101;0.534
222;20060811;1.46;1.1;0.536
223;20060812;1.451;1.101;0.532
224;20060813;1.449;1.101;0.53
225;20060814;1.449;1.101;0.534
226;20060815;1.442;1.091;0.533
227;20060816;1.435;1.092;0.531
228;20060817;1.43;1.091;0.529
229;20060818;1.419;1.085;0.533
230;20060819;1.413;1.082;0.533
231;20060820;1.412;1.082;0.536
232;20060821;1.412;1.082;0.53
233;20060822;1.411;1.082;0.532
234;20060823;1.405;1.085;0.534
235;20060824;1.402;1.086;0.532
236;20060825;1.393;1.086;0.532
237;20060826;1.389;1.086;0.533
238;20060827;1.389;1.085;0.531
239;20060828;1.389;1.086;0.529
240;20060829;1.389;1.087;0.534
241;20060830;1.381;1.081;0.532
242;20060831;1.373;1.08;0.536
243;20060901;1.371;1.08;0.532
244;20060902;1.367;1.08;0.531
245;20060903;1.366;1.08;0.533
246;20060904;1.367;1.08;0.533
247;20060905;1.351;1.067;0.531
248;20060906;1.349;1.064;0.534
249;20060907;1.344;1.06;0.536
250;20060908;1.34;1.054;0.534
251;20060909;1.338;1.052;0.536
252;20060910;1.338;1.053;0.533
253;20060911;1.338;1.053;0.535
254;20060912;1.329;1.038;0.535
255;20060913;1.328;1.035;0.532
256;20060914;1.322;1.024;0.537
257;20060915;1.32;1.014;0.533
258;20060916;1.317;1.003;0.536
259;20060917;1.316;1.003;0.534
260;20060918;1.317;1.003;0.534
261;20060919;1.315;1.001;0.535
262;20060920;1.318;1.005;0.534
263;20060921;1.313;1.005;0.53
264;20060922;1.3;0.997;0.529
265;20060923;1.299;0.995;0.531
266;20060924;1.298;0.994;0.526
267;20060925;1.298;0.995;0.531
268;20060926;1.291;0.989;0.53
269;20060927;1.29;0.988;0.523
270;20060928;1.293;0.992;0.52
271;20060929;1.3;1.008;0.515
272;20060930;1.3;1.01;0.516
273;20061001;1.299;1.009;0.518
274;20061002;1.3;1.01;0.518
275;20061003;1.301;1.013;0.52
276;20061004;1.291;1.005;0.513
277;20061005;1.287;0.999;0.509
278;20061006;1.285;0.999;0.51
279;20061007;1.291;1.004;0.51
280;20061008;1.289;1.004;0.509
281;20061009;1.291;1.004;0.512
282;20061010;1.296;1.01;0.51
283;20061011;1.297;1.013;0.508
284;20061012;1.295;1.012;0.509
285;20061013;1.291;1.013;0.507
286;20061014;1.29;1.014;0.506
287;20061015;1.289;1.014;0.504
288;20061016;1.29;1.015;0.502
289;20061017;1.291;1.019;0.505
290;20061018;1.296;1.028;0.506
291;20061019;1.295;1.027;0.512
292;20061020;1.294;1.022;0.51
293;20061021;1.295;1.017;0.504
294;20061022;1.294;1.016;0.509
295;20061023;1.295;1.017;0.511
296;20061024;1.286;1.007;0.509
297;20061025;1.285;1.005;0.509
298;20061026;1.286;1.006;0.51
299;20061027;1.288;1.009;0.507
300;20061028;1.289;1.008;0.509
301;20061029;1.287;1.008;0.506
302;20061030;1.29;1.009;0.507
303;20061031;1.292;1.006;0.509
304;20061101;1.286;0.997;0.509
305;20061102;1.284;0.994;0.508
306;20061103;1.279;0.993;0.506
307;20061104;1.275;0.991;0.507
308;20061105;1.275;0.99;0.508
309;20061106;1.275;0.991;0.506
310;20061107;1.283;0.999;0.503
311;20061108;1.288;0.999;0.502
312;20061109;1.286;0.997;0.503
313;20061110;1.293;1;0.504
314;20061111;1.292;0.997;0.503
315;20061112;1.294;0.999;0.506
316;20061113;1.295;1.001;0.506
317;20061114;1.295;0.997;0.502
318;20061115;1.295;0.994;0.503
319;20061116;1.295;0.994;0.505
320;20061117;1.301;1.003;0.501
321;20061118;1.29;0.995;0.504
322;20061119;1.29;0.994;0.503
323;20061120;1.289;0.995;0.501
324;20061121;1.285;0.992;0.503
325;20061122;1.292;0.998;0.506
326;20061123;1.293;0.999;0.508
327;20061124;1.294;0.997;0.512
328;20061125;1.29;0.993;0.507
329;20061126;1.289;0.992;0.508
330;20061127;1.29;0.992;0.51
331;20061128;1.288;0.991;0.511
332;20061129;1.292;0.995;0.507
333;20061130;1.297;0.999;0.507
334;20061201;1.307;1.009;0.507
335;20061202;1.309;1.012;0.506
336;20061203;1.309;1.012;0.504
337;20061204;1.31;1.012;0.507
338;20061205;1.309;1.007;0.507
339;20061206;1.308;1.001;0.503
340;20061207;1.307;0.998;0.501
341;20061208;1.307;0.996;0.504
342;20061209;1.306;0.996;0.503
343;20061210;1.306;0.996;0.5
344;20061211;1.306;0.997;0.502
345;20061212;1.303;0.994;0.505
346;20061213;1.3;0.991;0.504
347;20061214;1.298;0.989;0.502
348;20061215;1.302;0.991;0.501
349;20061216;1.312;0.999;0.504
350;20061217;1.312;0.998;0.508
351;20061218;1.313;1;0.5
352;20061219;1.314;0.999;0.503
353;20061220;1.307;0.988;0.507
354;20061221;1.305;0.986;0.503
355;20061222;1.306;0.986;0.502
356;20061223;1.309;0.985;0.505
357;20061224;1.308;0.986;0.5
358;20061225;1.306;0.984;0.501
359;20061226;1.308;0.986;0.502
360;20061227;1.308;0.986;0.505
361;20061228;1.308;0.985;0.501
362;20061229;1.306;0.985;0.504
363;20061230;1.31;0.988;0.504
364;20061231;1.31;0.988;0.499
365;20070101;1.318;0.992;0.506
366;20070102;1.319;0.993;0.504
367;20070103;1.324;0.993;0.504
368;20070104;1.326;0.992;0.501
369;20070105;1.322;0.988;0.503
370;20070106;1.314;0.974;0.502
371;20070107;1.313;0.972;0.499
372;20070108;1.313;0.973;0.501
373;20070109;1.314;0.973;0.502
374;20070110;1.314;0.972;0.506
375;20070111;1.312;0.971;0.502
376;20070112;1.308;0.969;0.501
377;20070113;1.299;0.964;0.502
378;20070114;1.298;0.964;0.499
379;20070115;1.298;0.964;0.502
380;20070116;1.297;0.961;0.502
381;20070117;1.295;0.961;0.5
382;20070118;1.288;0.958;0.5
383;20070119;1.286;0.957;0.496
384;20070120;1.284;0.957;0.498
385;20070121;1.283;0.955;0.496
386;20070122;1.284;0.956;0.498
387;20070123;1.286;0.959;0.498
388;20070124;1.291;0.964;0.488
389;20070125;1.297;0.968;0.49
390;20070126;1.303;0.97;0.488
391;20070127;1.302;0.97;0.489
392;20070128;1.301;0.97;0.486
393;20070129;1.302;0.97;0.487
394;20070130;1.302;0.971;0.488
395;20070131;1.301;0.969;0.49
396;20070201;1.307;0.977;0.492
397;20070202;1.308;0.98;0.493
398;20070203;1.31;0.983;0.488
399;20070204;1.31;0.984;0.493
400;20070205;1.312;0.984;0.495
401;20070206;1.316;0.99;0.495
402;20070207;1.321;0.998;0.496
403;20070208;1.322;0.998;0.495
404;20070209;1.322;0.996;0.495
405;20070210;1.322;0.996;0.493
406;20070211;1.321;0.995;0.496
407;20070212;1.322;0.996;0.497
408;20070213;1.323;0.997;0.498
409;20070214;1.321;0.992;0.504
410;20070215;1.32;0.989;0.503
411;20070216;1.32;0.988;0.504
412;20070217;1.319;0.982;0.503
413;20070218;1.318;0.981;0.5
414;20070219;1.318;0.981;0.503
415;20070220;1.322;0.982;0.502
416;20070221;1.324;0.982;0.499
417;20070222;1.326;0.982;0.505
418;20070223;1.336;0.988;0.5
419;20070224;1.35;0.998;0.501
420;20070225;1.351;0.998;0.507
421;20070226;1.35;0.998;0.501
422;20070227;1.357;1.002;0.504
423;20070228;1.362;1.003;0.505
424;20070301;1.365;1.003;0.503
425;20070302;1.375;1.006;0.502
426;20070303;1.384;1.009;0.502
427;20070304;1.384;1.009;0.503
428;20070305;1.383;1.009;0.504
429;20070306;1.383;1.01;0.505
430;20070307;1.382;1.01;0.509
431;20070308;1.381;1.01;0.504
432;20070309;1.382;1.01;0.505
433;20070310;1.386;1.01;0.506
434;20070311;1.386;1.008;0.501
435;20070312;1.386;1.01;0.506
436;20070313;1.384;1.007;0.504
437;20070314;1.384;1.005;0.51
438;20070315;1.383;1.003;0.511
439;20070316;1.379;1.003;0.513
440;20070317;1.369;1;0.514
441;20070318;1.367;1;0.509
442;20070319;1.366;1;0.512
443;20070320;1.365;0.997;0.515
444;20070321;1.362;0.995;0.509
445;20070322;1.361;0.995;0.514
446;20070323;1.362;0.995;0.512
447;20070324;1.367;0.998;0.507
448;20070325;1.367;0.999;0.512
449;20070326;1.366;0.999;0.511
450;20070327;1.381;1.006;0.512
451;20070328;1.39;1.008;0.504
452;20070329;1.402;1.018;0.506
453;20070330;1.402;1.026;0.504
454;20070331;1.416;1.038;0.504
455;20070401;1.414;1.036;0.504
456;20070402;1.416;1.039;0.505
457;20070403;1.416;1.038;0.507
458;20070404;1.412;1.035;0.514
459;20070405;1.41;1.034;0.513
460;20070406;1.417;1.035;0.512
461;20070407;1.42;1.035;0.514
462;20070408;1.418;1.033;0.514
463;20070409;1.418;1.034;0.514
464;20070410;1.419;1.036;0.513
465;20070411;1.416;1.029;0.515
466;20070412;1.416;1.028;0.517
467;20070413;1.42;1.033;0.518
468;20070414;1.428;1.037;0.519
469;20070415;1.427;1.037;0.517
470;20070416;1.427;1.038;0.519
471;20070417;1.428;1.038;0.518
472;20070418;1.428;1.037;0.515
473;20070419;1.418;1.024;0.515
474;20070420;1.416;1.022;0.516
475;20070421;1.426;1.019;0.516
476;20070422;1.425;1.019;0.515
477;20070423;1.425;1.019;0.516
478;20070424;1.435;1.022;0.513
479;20070425;1.451;1.027;0.512
480;20070426;1.45;1.027;0.514
481;20070427;1.45;1.027;0.511
482;20070428;1.45;1.027;0.512
483;20070429;1.449;1.027;0.513
484;20070430;1.45;1.026;0.516
485;20070501;1.452;1.028;0.515
486;20070502;1.462;1.028;0.511
487;20070503;1.467;1.028;0.509
488;20070504;1.468;1.028;0.511
489;20070505;1.463;1.027;0.509
490;20070506;1.462;1.027;0.514
491;20070507;1.462;1.028;0.508
492;20070508;1.46;1.027;0.51
493;20070509;1.453;1.023;0.506
494;20070510;1.449;1.021;0.504
495;20070511;1.45;1.021;0.506
496;20070512;1.464;1.027;0.501
497;20070513;1.464;1.028;0.498
498;20070514;1.465;1.029;0.503
499;20070515;1.468;1.029;0.503
500;20070516;1.467;1.029;0.508
501;20070517;1.466;1.029;0.508
502;20070518;1.466;1.028;0.507
503;20070519;1.474;1.031;0.506
504;20070520;1.474;1.031;0.51
505;20070521;1.475;1.031;0.51
506;20070522;1.482;1.037;0.509
507;20070523;1.483;1.039;0.52
508;20070524;1.476;1.039;0.523
509;20070525;1.47;1.043;0.52
510;20070526;1.472;1.046;0.521
511;20070527;1.471;1.046;0.52
512;20070528;1.471;1.047;0.522
513;20070529;1.472;1.047;0.523
514;20070530;1.471;1.043;0.529
515;20070531;1.463;1.037;0.536
516;20070601;1.458;1.035;0.537
517;20070602;1.455;1.035;0.534
518;20070603;1.455;1.036;0.532
519;20070604;1.456;1.037;0.539
520;20070605;1.454;1.042;0.536
521;20070606;1.452;1.045;0.533
522;20070607;1.453;1.046;0.536
523;20070608;1.451;1.048;0.531
524;20070609;1.452;1.052;0.53
525;20070610;1.451;1.052;0.535
526;20070611;1.451;1.053;0.532
527;20070612;1.448;1.052;0.534
528;20070613;1.446;1.05;0.524
529;20070614;1.445;1.05;0.525
530;20070615;1.448;1.055;0.524
531;20070616;1.455;1.059;0.521
532;20070617;1.455;1.059;0.521
533;20070618;1.457;1.06;0.526
534;20070619;1.46;1.061;0.522
535;20070620;1.461;1.061;0.521
536;20070621;1.46;1.061;0.523
537;20070622;1.46;1.064;0.522
538;20070623;1.46;1.065;0.522
539;20070624;1.461;1.066;0.524
540;20070625;1.461;1.066;0.523
541;20070626;1.46;1.061;0.521
542;20070627;1.459;1.06;0.523
543;20070628;1.454;1.059;0.521
544;20070629;1.45;1.056;0.522
545;20070630;1.45;1.057;0.522
546;20070701;1.451;1.057;0.526
547;20070702;1.451;1.058;0.523
548;20070703;1.453;1.058;0.522
549;20070704;1.453;1.06;0.52
550;20070705;1.453;1.059;0.52
551;20070706;1.452;1.059;0.518
552;20070707;1.458;1.061;0.518
553;20070708;1.459;1.061;0.517
554;20070709;1.459;1.062;0.519
555;20070710;1.462;1.063;0.516
556;20070711;1.467;1.066;0.52
557;20070712;1.469;1.067;0.515
558;20070713;1.468;1.067;0.515
559;20070714;1.465;1.068;0.515
560;20070715;1.465;1.069;0.516
561;20070716;1.465;1.068;0.514
562;20070717;1.457;1.068;0.513
563;20070718;1.444;1.067;0.515
564;20070719;1.432;1.063;0.52
565;20070720;1.435;1.066;0.518
566;20070721;1.435;1.067;0.514
567;20070722;1.435;1.067;0.516
568;20070723;1.434;1.066;0.517
569;20070724;1.431;1.067;0.518
570;20070725;1.421;1.061;0.521
571;20070726;1.414;1.06;0.52
572;20070727;1.416;1.062;0.521
573;20070728;1.415;1.063;0.52
574;20070729;1.414;1.062;0.521
575;20070730;1.414;1.062;0.521
576;20070731;1.414;1.064;0.522
577;20070801;1.415;1.066;0.526
578;20070802;1.419;1.068;0.527
579;20070803;1.419;1.066;0.525
580;20070804;1.419;1.067;0.523
581;20070805;1.416;1.067;0.524
582;20070806;1.418;1.067;0.526
583;20070807;1.413;1.06;0.526
584;20070808;1.404;1.049;0.532
585;20070809;1.402;1.045;0.532
586;20070810;1.401;1.046;0.537
587;20070811;1.401;1.046;0.534
588;20070812;1.401;1.046;0.537
589;20070813;1.402;1.047;0.533
590;20070814;1.403;1.047;0.535
591;20070815;1.402;1.047;0.531
592;20070816;1.407;1.05;0.531
593;20070817;1.411;1.051;0.531
594;20070818;1.413;1.051;0.528
595;20070819;1.413;1.051;0.531
596;20070820;1.414;1.051;0.53
597;20070821;1.411;1.049;0.53
598;20070822;1.408;1.049;0.53
599;20070823;1.403;1.049;0.53
600;20070824;1.4;1.048;0.529
601;20070825;1.399;1.047;0.526
602;20070826;1.4;1.048;0.53
603;20070827;1.401;1.047;0.53
604;20070828;1.401;1.047;0.53
605;20070829;1.406;1.048;0.531
606;20070830;1.41;1.049;0.533
607;20070831;1.421;1.055;0.531
608;20070901;1.422;1.056;0.529
609;20070902;1.423;1.057;0.532
610;20070903;1.424;1.058;0.531
611;20070904;1.428;1.061;0.531
612;20070905;1.429;1.063;0.533
613;20070906;1.433;1.066;0.534
614;20070907;1.434;1.067;0.532
615;20070908;1.43;1.073;0.532
616;20070909;1.432;1.075;0.533
617;20070910;1.431;1.076;0.533
618;20070911;1.425;1.079;0.53
619;20070912;1.419;1.081;0.538
620;20070913;1.416;1.084;0.543
621;20070914;1.417;1.084;0.542
622;20070915;1.422;1.088;0.547
623;20070916;1.421;1.087;0.543
624;20070917;1.422;1.088;0.543
625;20070918;1.423;1.089;0.541
626;20070919;1.429;1.092;0.547
627;20070920;1.429;1.094;0.545
628;20070921;1.426;1.091;0.547
629;20070922;1.426;1.091;0.544
630;20070923;1.427;1.093;0.545
631;20070924;1.428;1.093;0.547
632;20070925;1.425;1.094;0.546
633;20070926;1.422;1.094;0.548
634;20070927;1.419;1.091;0.55
635;20070928;1.414;1.089;0.555
636;20070929;1.412;1.09;0.557
637;20070930;1.413;1.09;0.554
638;20071001;1.413;1.09;0.559
639;20071002;1.408;1.089;0.562
640;20071003;1.397;1.081;0.565
641;20071004;1.395;1.08;0.566
642;20071005;1.395;1.079;0.567
643;20071006;1.402;1.083;0.568
644;20071007;1.401;1.083;0.564
645;20071008;1.402;1.084;0.567
646;20071009;1.406;1.085;0.565
647;20071010;1.406;1.081;0.572
648;20071011;1.406;1.08;0.571
649;20071012;1.406;1.081;0.569
650;20071013;1.408;1.083;0.574
651;20071014;1.407;1.083;0.571
652;20071015;1.408;1.084;0.57
653;20071016;1.409;1.085;0.572
654;20071017;1.42;1.097;0.579
655;20071018;1.424;1.099;0.584
656;20071019;1.426;1.098;0.581
657;20071020;1.428;1.103;0.578
658;20071021;1.427;1.102;0.579
659;20071022;1.428;1.103;0.581
660;20071023;1.426;1.104;0.58
661;20071024;1.423;1.105;0.582
662;20071025;1.423;1.105;0.585
663;20071026;1.424;1.106;0.584
664;20071027;1.438;1.116;0.584
665;20071028;1.437;1.117;0.586
666;20071029;1.437;1.117;0.583
667;20071030;1.445;1.122;0.587
668;20071031;1.452;1.128;0.586
669;20071101;1.456;1.133;0.588
670;20071102;1.474;1.151;0.586
671;20071103;1.477;1.162;0.584
672;20071104;1.478;1.162;0.588
673;20071105;1.477;1.163;0.587
674;20071106;1.477;1.182;0.588
675;20071107;1.478;1.199;0.593
676;20071108;1.479;1.205;0.597
677;20071109;1.479;1.206;0.596
678;20071110;1.478;1.2;0.596
679;20071111;1.478;1.199;0.597
680;20071112;1.477;1.199;0.594
681;20071113;1.477;1.197;0.598
682;20071114;1.473;1.187;0.6
683;20071115;1.469;1.181;0.606
684;20071116;1.466;1.18;0.61
685;20071117;1.462;1.182;0.61
686;20071118;1.463;1.182;0.606
687;20071119;1.463;1.182;0.61
688;20071120;1.462;1.183;0.612
689;20071121;1.462;1.186;0.616
690;20071122;1.464;1.199;0.621
691;20071123;1.464;1.199;0.62
692;20071124;1.463;1.197;0.619
693;20071125;1.463;1.197;0.618
694;20071126;1.462;1.197;0.619
695;20071127;1.462;1.196;0.619
696;20071128;1.459;1.192;0.628
697;20071129;1.458;1.192;0.632
698;20071130;1.451;1.188;0.633
699;20071201;1.441;1.177;0.632
700;20071202;1.441;1.175;0.632
701;20071203;1.44;1.175;0.632
702;20071204;1.433;1.162;0.633
703;20071205;1.431;1.153;0.632
704;20071206;1.431;1.151;0.632
705;20071207;1.43;1.137;0.635
706;20071208;1.437;1.135;0.633
707;20071209;1.436;1.135;0.631
708;20071210;1.436;1.135;0.634
709;20071211;1.436;1.133;0.63
710;20071212;1.434;1.128;0.626
711;20071213;1.434;1.127;0.628
712;20071214;1.452;1.142;0.629
713;20071215;1.457;1.154;0.629
714;20071216;1.457;1.154;0.63
715;20071217;1.457;1.155;0.625
716;20071218;1.457;1.156;0.627
717;20071219;1.458;1.157;0.622
718;20071220;1.455;1.153;0.627
719;20071221;1.456;1.155;0.626
720;20071222;1.454;1.158;0.629
721;20071223;1.455;1.157;0.625
722;20071224;1.455;1.157;0.627
723;20071225;1.454;1.156;0.628
724;20071226;1.455;1.157;0.624
725;20071227;1.455;1.157;0.628
726;20071228;1.459;1.158;0.629
727;20071229;1.47;1.161;0.63
728;20071230;1.468;1.161;0.628
729;20071231;1.471;1.161;0.631
730;20080101;1.48;1.165;0.629
731;20080102;1.483;1.166;0.63
732;20080103;1.489;1.169;0.629
733;20080104;1.496;1.172;0.632
734;20080105;1.5;1.173;0.63
735;20080106;1.499;1.173;0.63
736;20080107;1.499;1.173;0.63
737;20080108;1.497;1.17;0.628
738;20080109;1.492;1.167;0.63
739;20080110;1.491;1.165;0.63
740;20080111;1.483;1.158;0.631
741;20080112;1.469;1.145;0.632
742;20080113;1.468;1.143;0.631
743;20080114;1.468;1.143;0.631
744;20080115;1.462;1.14;0.629
745;20080116;1.458;1.138;0.627
746;20080117;1.448;1.133;0.624
747;20080118;1.447;1.133;0.621
748;20080119;1.445;1.132;0.621
749;20080120;1.444;1.131;0.623
750;20080121;1.444;1.132;0.622
751;20080122;1.444;1.132;0.62
752;20080123;1.439;1.127;0.615
753;20080124;1.437;1.125;0.616
754;20080125;1.438;1.124;0.617
755;20080126;1.443;1.13;0.617
756;20080127;1.444;1.13;0.614
757;20080128;1.444;1.131;0.617
758;20080129;1.447;1.13;0.617
759;20080130;1.448;1.136;0.609
760;20080131;1.449;1.137;0.608
761;20080201;1.45;1.138;0.608
762;20080202;1.447;1.134;0.609
763;20080203;1.447;1.133;0.609
764;20080204;1.446;1.134;0.607
765;20080205;1.439;1.128;0.607
766;20080206;1.437;1.126;0.605
767;20080207;1.436;1.127;0.605
768;20080208;1.436;1.126;0.606
769;20080209;1.449;1.141;0.603
770;20080210;1.448;1.142;0.604
771;20080211;1.447;1.142;0.602
772;20080212;1.463;1.155;0.602
773;20080213;1.473;1.17;0.602
774;20080214;1.474;1.172;0.601
775;20080215;1.48;1.18;0.6
